srno,presz,postsz ,inc ,year ,lf,y1,y2,y3,post,shell,pre_82,pre_all,,,,,,,,
1,113.6,127.7,14.1,NA,0,0,0,0,116.8,1,98.056,99.116,,82,1.125564937,-33.40970383,pre_all,shell,,
2,118.1,133.2,15.1,NA,0,0,0,0,117.1,1,98.394,99.448,,all,1.107278,-30.2141,<100,0,,
3,119.9,135.3,15.4,NA,0,0,0,0,118.4,1,99.857,100.888,,,,,,,,
4,126.2,143.3,17.1,NA,0,0,0,0,119.6,1,101.208,102.216,,,,,,,,
5,126.7,139.3,12.6,NA,0,0,0,0,120.1,1,101.771,102.77,,,,,,1,Unmolted,Molted
6,127.3,140.2,12.9,NA,0,0,0,0,120.4,1,102.108,103.102,100,<100,3,3,<100,1,1,2
7,128.2,143.8,15.6,NA,0,0,0,0,120.6,1,102.333,103.324,110,<110,20,17,<110,3,2,15
8,129.5,144.6,15.1,NA,0,0,0,0,122.6,1,104.585,105.538,120,<120,69,49,<120,7,4,45
9,130.5,147.6,17.1,NA,0,0,0,0,123.5,1,105.598,106.535,130,<130,134,65,<130,10,3,62
10,131.6,144.8,13.2,NA,0,0,0,0,123.9,1,106.048,106.978,140,<140,175,41,<140,17,7,34
11,131.7,146.8,15.1,NA,0,0,0,0,124.6,1,106.836,107.753,150,<150,274,99,<150,76,59,40
12,132.2,145.9,13.7,NA,0,0,0,0,125.3,1,107.624,108.528,160,<160,345,71,<160,144,68,3
13,132.4,151,18.6,NA,0,0,0,0,125.8,1,108.186,109.081,170,<170,362,17,<170,161,17,0
14,132.8,148.7,15.9,NA,0,0,0,0,125.8,1,108.186,109.081,,,,,,,,
15,132.8,147.8,15,NA,0,0,0,0,126,1,108.411,109.303,,,,,,,,
16,133.6,148.3,14.7,NA,0,0,0,0,126.5,1,108.974,109.857,,,,,,,,
17,133.8,149.2,15.4,NA,0,0,0,0,126.5,1,108.974,109.857,,,,,,,,
18,134.1,149,14.9,NA,0,0,0,0,127,1,109.537,110.41,,,,,,,,
19,134.3,149.2,14.9,NA,0,0,0,0,127.1,1,109.65,110.521,,,,,,,,
20,134.6,148.7,14.1,NA,0,0,0,0,127.6,1,110.212,111.075,,,,,,,,
21,135.2,149,13.8,NA,0,0,0,0,127.9,1,110.55,111.407,,,,,,,,
22,135.2,151.1,15.9,NA,0,0,0,0,128,1,110.663,111.517,,,,,,,,
23,135.5,150.4,14.9,NA,0,0,0,0,128.3,1,111,111.85,,,,,,,,
24,135.6,149.4,13.8,NA,0,0,0,0,128.3,1,111,111.85,,,,,,,,
25,136.1,150,13.9,NA,0,0,0,0,128.5,1,111.225,112.071,,,,,,,,
26,136.2,151,14.8,NA,0,0,0,0,128.8,1,111.563,112.403,,,,,,,,
27,136.3,150,13.7,NA,0,0,0,0,129.1,1,111.901,112.735,,,,,,,,
28,136.4,150.7,14.3,NA,0,0,0,0,129.3,1,112.126,112.957,,,,,,,,
29,136.7,147.6,10.9,NA,0,0,0,0,129.3,1,112.126,112.957,,,,,,,,
30,136.8,151.9,15.1,NA,0,0,0,0,129.4,1,112.238,113.068,,,,,,,,
31,136.9,151.5,14.6,NA,0,0,0,0,130,1,112.914,113.732,,,,,,,,
32,137.3,151.1,13.8,NA,0,0,0,0,130,1,112.914,113.732,,,,,,,,
33,137.4,151,13.6,NA,0,0,0,0,130,1,112.914,113.732,,,,,,,,
34,137.6,151.8,14.2,NA,0,0,0,0,131.1,1,114.152,114.95,,,,,,,,
35,137.6,150.9,13.3,NA,0,0,0,0,131.2,1,114.264,115.061,,,,,,,,
36,137.6,150,12.4,NA,0,0,0,0,131.3,1,114.377,115.172,,,,,,,,
37,138,154,16,NA,0,0,0,0,131.3,1,114.377,115.172,,,,,,,,
38,138.2,152.6,14.4,NA,0,0,0,0,131.7,1,114.827,115.614,,,,,,,,
39,138.3,152.6,14.3,NA,0,0,0,0,131.8,1,114.94,115.725,,,,,,,,
40,138.3,152.6,14.3,NA,0,0,0,0,132,1,115.165,115.947,,,,,,,,
41,138.3,151.1,12.8,NA,0,0,0,0,132.1,1,115.277,116.057,,,,,,,,
42,138.5,151.4,12.9,NA,0,0,0,0,132.2,1,115.39,116.168,,,,,,,,
43,138.9,155,16.1,NA,0,0,0,0,132.2,1,115.39,116.168,,,,,,,,
44,139.2,151.8,12.6,NA,0,0,0,0,132.2,1,115.39,116.168,,,,,,,,
45,139.5,154.2,14.7,NA,0,0,0,0,132.3,1,115.503,116.279,,,,,,,,
46,139.5,154,14.5,NA,0,0,0,0,132.8,1,116.065,116.832,,,,,,,,
47,140,151.9,11.9,NA,0,0,0,0,132.8,1,116.065,116.832,,,,,,,,
48,140.1,155.5,15.4,NA,0,0,0,0,133.3,1,116.628,117.386,,,,,,,,
49,140.2,155.9,15.7,NA,0,0,0,0,133.5,1,116.853,117.608,,,,,,,,
50,140.3,153.1,12.8,NA,0,0,0,0,133.6,1,116.966,117.718,,,,,,,,
51,140.3,155.4,15.1,NA,0,0,0,0,133.9,1,117.303,118.05,,,,,,,,
52,140.6,154.2,13.6,NA,0,0,0,0,133.9,1,117.303,118.05,,,,,,,,
53,140.7,153,12.3,NA,0,0,0,0,133.9,1,117.303,118.05,,,,,,,,
54,141,151.7,10.7,NA,0,0,0,0,134,1,117.416,118.161,,,,,,,,
55,141.3,153.4,12.1,NA,0,0,0,0,134,1,117.416,118.161,,,,,,,,
56,141.3,154,12.7,NA,0,0,0,0,134.9,1,118.429,119.158,,,,,,,,
57,141.3,155.6,14.3,NA,0,0,0,0,135.1,1,118.654,119.379,,,,,,,,
58,141.3,156.2,14.9,NA,0,0,0,0,135.1,1,118.654,119.379,,,,,,,,
59,141.5,155.6,14.1,NA,0,0,0,0,135.2,1,118.767,119.49,,,,,,,,
60,142,154.3,12.3,NA,0,0,0,0,135.4,1,118.992,119.711,,,,,,,,
61,142,158.2,16.2,NA,0,0,0,0,135.5,1,119.104,119.822,,,,,,,,
62,142.3,155.6,13.3,NA,0,0,0,0,135.6,1,119.217,119.933,,,,,,,,
63,142.3,156.5,14.2,NA,0,0,0,0,135.8,1,119.442,120.154,,,,,,,,
64,142.4,157.3,14.9,NA,0,0,0,0,136,1,119.667,120.376,,,,,,,,
65,142.7,155.8,13.1,NA,0,0,0,0,136.1,1,119.78,120.486,,,,,,,,
66,142.9,156.6,13.7,NA,0,0,0,0,136.2,1,119.892,120.597,,,,,,,,
67,143,155.9,12.9,NA,0,0,0,0,136.4,1,120.117,120.819,,,,,,,,
68,143.1,156.6,13.5,NA,0,0,0,0,136.7,1,120.455,121.151,,,,,,,,
69,143.5,155,11.5,NA,0,0,0,0,137,1,120.793,121.483,,,,,,,,
70,143.6,158.2,14.6,NA,0,0,0,0,137,1,120.793,121.483,,,,,,,,
71,143.7,158.7,15,NA,0,0,0,0,137.2,1,121.018,121.704,,,,,,,,
72,143.7,155.9,12.2,NA,0,0,0,0,137.7,1,121.581,122.258,,,,,,,,
73,143.7,159.1,15.4,NA,0,0,0,0,138,1,121.918,122.59,,,,,,,,
74,143.9,155.6,11.7,NA,0,0,0,0,138.4,1,122.368,123.033,,,,,,,,
75,144,158.6,14.6,NA,0,0,0,0,138.6,1,122.594,123.255,,,,,,,,
76,144.5,154.3,9.8,NA,0,0,0,0,138.6,1,122.594,123.255,,,,,,,,
77,144.6,161.6,17,NA,0,0,0,0,138.7,1,122.706,123.365,,,,,,,,
78,144.6,157,12.4,NA,0,0,0,0,138.7,1,122.706,123.365,,,,,,,,
79,144.7,154.6,9.9,NA,0,0,0,0,138.7,1,122.706,123.365,,,,,,,,
80,145,157.9,12.9,NA,0,0,0,0,138.9,1,122.931,123.587,,,,,,,,
81,145.2,160,14.8,NA,0,0,0,0,138.9,1,122.931,123.587,,,,,,,,
82,145.4,159.9,14.5,NA,0,0,0,0,138.9,1,122.931,123.587,,,,,,,,
83,145.4,157.1,11.7,NA,0,0,0,0,139,1,123.044,123.698,,,,,,,,
84,145.7,159.9,14.2,NA,0,0,0,0,139,1,123.044,123.698,,,,,,,,
85,145.7,157,11.3,NA,0,0,0,0,139.1,1,123.156,123.808,,,,,,,,
86,145.7,159.6,13.9,NA,0,0,0,0,139.2,1,123.269,123.919,,,,,,,,
87,145.9,160.6,14.7,NA,0,0,0,0,139.3,1,123.381,124.03,,,,,,,,
88,146,155.6,9.6,NA,0,0,0,0,139.3,1,123.381,124.03,,,,,,,,
89,147.2,159.6,12.4,NA,0,0,0,0,139.3,1,123.381,124.03,,,,,,,,
90,147.4,162.7,15.3,NA,0,0,0,0,139.4,1,123.494,124.14,,,,,,,,
91,147.6,158.3,10.7,NA,0,0,0,0,139.4,1,123.494,124.14,,,,,,,,
92,148,160.1,12.1,NA,0,0,0,0,139.4,1,123.494,124.14,,,,,,,,
93,148.1,163.7,15.6,NA,0,0,0,0,139.5,1,123.607,124.251,,,,,,,,
94,148.1,163.2,15.1,NA,0,0,0,0,139.5,1,123.607,124.251,,,,,,,,
95,151,164.7,13.7,NA,0,0,0,0,139.8,1,123.944,124.583,,,,,,,,
96,151.2,163.5,12.3,NA,0,0,0,0,140,1,124.169,124.805,,,,,,,,
97,153.9,166.5,12.6,NA,0,0,0,0,140.2,1,124.395,125.026,,,,,,,,
98,115.6,130.8,15.2,NA,0,0,0,0,140.3,1,124.507,125.137,,,,,,,,
99,123,141.6,18.6,NA,0,0,0,0,140.5,1,124.732,125.358,,,,,,,,
100,124.4,142.5,18.1,NA,0,0,0,0,140.6,1,124.845,125.469,,,,,,,,
101,136.1,147.5,11.4,NA,0,0,0,0,140.6,1,124.845,125.469,,,,,,,,
102,136.9,151.4,14.5,NA,0,0,0,0,141,1,125.295,125.912,,,,,,,,
103,138.6,154.2,15.6,NA,0,0,0,0,141,1,125.295,125.912,,,,,,,,
104,139.7,152.3,12.6,NA,0,0,0,0,141.3,1,125.633,126.244,,,,,,,,
105,139.8,159.5,19.7,NA,0,0,0,0,141.4,1,125.745,126.355,,,,,,,,
106,141.3,156.6,15.3,NA,0,0,0,0,141.4,1,125.745,126.355,,,,,,,,
107,143.7,154.6,10.9,NA,0,0,0,0,141.4,1,125.745,126.355,,,,,,,,
108,144.2,157.8,13.6,NA,0,0,0,0,141.4,1,125.745,126.355,,,,,,,,
109,146.4,161.7,15.3,NA,0,0,0,0,141.4,1,125.745,126.355,,,,,,,,
110,147.8,160.6,12.8,NA,0,0,0,0,141.6,1,125.97,126.576,,,,,,,,
111,147.9,156,8.1,NA,0,0,0,0,141.6,1,125.97,126.576,,,,,,,,
112,142.3,154.8,12.5,81,1,0,0,1,141.7,1,126.083,126.687,,,,,,,,
113,125.1,142.5,17.4,81,1,0,0,1,142.2,1,126.646,127.241,,,,,,,,
114,140.8,154.9,14.1,81,1,0,0,1,142.4,1,126.871,127.462,,,,,,,,
115,122.4,136.5,14.1,81,1,0,0,1,142.5,1,126.983,127.573,,,,,,,,
116,133.2,146.6,13.4,81,1,0,0,1,142.9,1,127.434,128.016,,,,,,,,
117,138.9,151.5,12.6,81,1,0,0,1,143,1,127.546,128.127,,,,,,,,
118,143.1,154.4,11.3,81,1,0,0,1,143.1,1,127.659,128.237,,,,,,,,
119,139.7,152.2,12.5,81,1,0,0,1,143.2,1,127.771,128.348,,,,,,,,
120,140.4,155.3,14.9,81,1,0,0,1,143.5,1,128.109,128.68,,,,,,,,
121,116.6,133.3,16.7,81,1,0,0,1,143.6,1,128.221,128.791,,,,,,,,
122,137.4,149.7,12.3,81,1,0,0,1,143.8,1,128.447,129.012,,,,,,,,
123,143,157.5,14.5,81,1,0,0,1,144,1,128.672,129.234,,,,,,,,
124,143.2,155.3,12.1,81,1,0,0,1,144,1,128.672,129.234,,,,,,,,
125,140.8,152.9,12.1,81,1,0,0,1,144.8,1,129.572,130.12,,,,,,,,
126,140.7,154.3,13.6,81,1,0,0,1,145.2,1,130.022,130.563,,,,,,,,
127,130.8,143.1,12.3,81,1,0,0,1,145.3,1,130.135,130.673,,,,,,,,
128,131.8,145.2,13.4,81,1,0,0,1,145.3,1,130.135,130.673,,,,,,,,
129,120.6,135.4,14.8,81,1,0,0,1,145.4,1,130.247,130.784,,,,,,,,
130,140.1,153.5,13.4,81,1,0,0,1,145.6,1,130.473,131.006,,,,,,,,
131,133,148.9,15.9,81,1,0,0,1,146.1,1,131.035,131.559,,,,,,,,
132,122.9,139.1,16.2,81,1,0,0,1,146.3,1,131.26,131.781,,,,,,,,
133,143,155.4,12.4,81,1,0,0,1,146.8,1,131.823,132.334,,,,,,,,
134,139.5,154.7,15.2,81,1,0,0,1,147.4,1,132.499,132.999,,,,,,,,
135,137.5,149.5,12,81,1,0,0,1,147.6,1,132.724,133.22,,,,,,,,
136,136.7,151.5,14.8,81,1,0,0,1,147.8,1,132.949,133.442,,,,,,,,
137,145.9,160.1,14.2,81,1,0,0,1,148.3,1,133.512,133.995,,,,,,,,
138,143.1,153.2,10.1,81,1,0,0,1,148.6,1,133.849,134.327,,,,,,,,
139,128.5,142,13.5,81,1,0,0,1,148.9,1,134.187,134.66,,,,,,,,
140,141.1,153.8,12.7,81,1,0,0,1,149.4,1,134.75,135.213,,,,,,,,
141,150.9,164.9,14,81,1,0,0,1,149.5,1,134.862,135.324,,,,,,,,
142,144.6,155.7,11.1,81,1,0,0,1,149.8,1,135.2,135.656,,,,,,,,
143,143.3,155.8,12.5,81,1,0,0,1,149.8,1,135.2,135.656,,,,,,,,
144,146.5,158.9,12.4,81,1,0,0,1,149.9,1,135.312,135.767,,,,,,,,
145,143.5,155.2,11.7,81,1,0,0,1,150.3,1,135.763,136.21,,,,,,,,
146,150.2,164.1,13.9,81,1,0,0,1,150.6,1,136.1,136.542,,,,,,,,
147,148.3,161.3,13,81,1,0,0,1,151.3,1,136.888,137.317,,,,,,,,
148,143.1,156.7,13.6,81,1,0,0,1,151.5,1,137.113,137.539,,,,,,,,
149,135.7,148.2,12.5,81,1,0,0,1,151.7,1,137.338,137.76,,,,,,,,
150,143.4,156.5,13.1,81,1,0,0,1,152,1,137.676,138.092,,,,,,,,
151,133,147.8,14.8,81,1,0,0,1,152.2,1,137.901,138.314,,,,,,,,
152,143.2,157.7,14.5,81,1,0,0,1,152.7,1,138.464,138.867,,,,,,,,
153,137,149.1,12.1,81,1,0,0,1,153.2,1,139.027,139.421,,,,,,,,
154,140.8,151.5,10.7,81,1,0,0,1,153.4,1,139.252,139.642,,,,,,,,
155,132.8,146.7,13.9,81,1,0,0,1,153.4,1,139.252,139.642,,,,,,,,
156,134.7,148.5,13.8,81,1,0,0,1,153.5,1,139.365,139.753,,,,,,,,
157,142.4,156.6,14.2,81,1,0,0,1,153.7,1,139.59,139.975,,,,,,,,
158,141.2,155,13.8,81,1,0,0,1,153.7,1,139.59,139.975,,,,,,,,
159,111.9,129.5,17.6,81,1,0,0,1,154.1,1,140.04,140.417,,,,,,,,
160,84.3,101.4,17.1,81,1,0,0,1,154.1,1,140.04,140.417,,,,,,,,
161,109.8,128.9,19.1,81,1,0,0,1,154.1,1,140.04,140.417,,,,,,,,
162,83.8,101.9,18.1,81,1,0,0,1,154.3,1,140.265,140.639,,,,,,,,
163,86.1,105.1,19,81,1,0,0,1,154.9,1,140.94,141.303,,,,,,,,
164,92,114.8,22.8,81,1,0,0,1,155.2,1,141.278,141.635,,,,,,,,
165,71.4,91.5,20.1,81,1,0,0,1,155.3,1,141.391,141.746,,,,,,,,
166,77.9,96.4,18.5,81,1,0,0,1,155.6,1,141.728,142.078,,,,,,,,
167,75.2,94.5,19.3,81,1,0,0,1,155.6,1,141.728,142.078,,,,,,,,
168,113.1,131.1,18,81,1,0,0,1,155.7,1,141.841,142.189,,,,,,,,
169,71.4,93.8,22.4,81,1,0,0,1,155.8,1,141.953,142.3,,,,,,,,
170,81.4,101.3,19.9,81,1,0,0,1,155.8,1,141.953,142.3,,,,,,,,
171,74.8,95.5,20.7,81,1,0,0,1,156,1,142.178,142.521,,,,,,,,
172,62.7,82.3,19.6,81,1,0,0,1,156.2,1,142.404,142.743,,,,,,,,
173,75.8,97.2,21.4,81,1,0,0,1,156.5,1,142.741,143.075,,,,,,,,
174,74.2,92.1,17.9,81,1,0,0,1,156.6,1,142.854,143.186,,,,,,,,
175,72.4,96.3,23.9,81,1,0,0,1,156.7,1,142.966,143.296,,,,,,,,
176,83.6,104.6,21,81,1,0,0,1,156.8,1,143.079,143.407,,,,,,,,
177,31.1,51.8,11.3,81,1,0,0,1,156.8,1,143.079,143.407,,,,,,,,
178,40.5,120,21.8,82,1,0,1,0,157,1,143.304,143.629,,,,,,,,
179,88.3,121.9,19.8,82,1,0,1,0,157.2,1,143.529,143.85,,,,,,,,
180,98.2,134.8,18.7,82,1,0,1,0,157.3,1,143.642,143.961,,,,,,,,
181,102.1,148,12.4,82,1,0,1,0,157.5,1,143.867,144.182,,,,,,,,
182,116.1,158.2,15,82,1,0,1,0,157.7,1,144.092,144.404,,,,,,,,
183,135.6,154.8,11.9,82,1,0,1,0,157.8,1,144.204,144.514,,,,,,,,
184,143.2,141.8,18.4,82,1,0,1,0,157.8,1,144.204,144.514,,,,,,,,
185,142.9,141.6,16.1,82,1,0,1,0,157.8,1,144.204,144.514,,,,,,,,
186,123.4,146.6,17.1,82,1,0,1,0,158.6,1,145.105,145.4,,,,,,,,
187,125.5,133.8,13.7,82,1,0,1,0,158.6,1,145.105,145.4,,,,,,,,
188,129.5,136.5,14,82,1,0,1,0,159.8,1,146.456,146.729,,,,,,,,
189,120.1,140.9,17.6,82,1,0,1,0,160,1,146.681,146.95,,,,,,,,
190,122.5,140.4,12.6,82,1,0,1,0,160.4,1,147.131,147.393,,,,,,,,
191,123.3,148.5,13.8,82,1,0,1,0,160.4,1,147.131,147.393,,,,,,,,
192,127.8,145.8,17.2,82,1,0,1,0,160.5,1,147.243,147.504,,,,,,,,
193,134.7,142.8,18.6,82,1,0,1,0,161.1,1,147.919,148.168,,,,,,,,
194,128.6,142.4,16.9,82,1,0,1,0,161.3,1,148.144,148.39,,,,,,,,
195,124.2,149.1,17.7,82,1,0,1,0,161.6,1,148.482,148.722,,,,,,,,
196,125.5,149.5,13.4,82,1,0,1,0,161.6,1,148.482,148.722,,,,,,,,
197,131.4,127.6,17,82,1,0,1,0,162.1,1,149.044,149.276,,,,,,,,
198,136.1,136.2,13.9,82,1,0,1,0,162.5,1,149.495,149.719,,,,,,,,
199,110.6,145.8,11.7,82,1,0,1,0,164.1,1,151.296,151.49,,,,,,,,
200,122.3,154.2,15.9,82,1,0,1,0,164.6,1,151.858,152.044,,,,,,,,
201,134.1,147.1,13.8,82,1,0,1,0,165.1,1,152.421,152.597,,,,,,,,
202,138.3,159.4,9.6,82,1,0,1,0,95.4,0,95.4,95.4,,,,,,,,
203,133.3,162.6,13.4,82,1,0,1,0,100.4,0,100.4,100.4,,,,,,,,
204,149.8,151.5,9,82,1,0,1,0,109.3,0,109.3,109.3,,,,,,,,
205,149.2,118,13.4,82,1,0,1,0,114.6,0,114.6,114.6,,,,,,,,
206,142.5,145.5,18.4,82,1,0,1,0,115.2,0,115.2,115.2,,,,,,,,
207,104.6,148.2,18.4,82,1,0,1,0,115.5,0,115.5,115.5,,,,,,,,
208,127.1,135.9,14.8,82,1,0,1,0,119.5,0,119.5,119.5,,,,,,,,
209,129.8,136.1,16.9,82,1,0,1,0,122,0,122,122,,,,,,,,
210,121.1,128.6,17.7,82,1,0,1,0,126.7,0,126.7,126.7,,,,,,,,
211,119.2,139.8,17.3,82,1,0,1,0,128.7,0,128.7,128.7,,,,,,,,
212,110.9,136.7,17.4,82,1,0,1,0,134.3,0,134.3,134.3,,,,,,,,
213,122.5,135.1,16.9,82,1,0,1,0,137.1,0,137.1,137.1,,,,,,,,
