Seq,ID,Gender,Monetary,Recency,Frq,FirstPurch,ChildBks,YouthBks,CookBks,DoItYBks,RefBks,ArtBks,GeogBks,ItalCook,ItalAtlas,ItalArt,Florence,RelatedPurchase
3537,29390,1,184,14,6,46,0,0,3,1,1,1,0,0,0,0,0,1
3561,29591,0,188,12,2,18,0,0,1,0,0,0,0,0,0,0,0,0
3276,27009,0,154,34,2,40,2,0,0,0,0,0,3,1,0,0,0,4
1923,15917,1,109,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
2214,18278,1,136,10,2,16,1,0,0,0,0,0,0,0,0,0,1,0
799,6775,1,417,14,12,44,2,1,2,3,1,1,2,0,0,0,0,3
2351,19281,1,232,8,7,48,2,1,1,0,0,0,0,0,0,0,0,0
3597,29847,0,208,16,2,20,1,1,0,0,0,0,3,0,0,0,0,3
2102,17353,1,256,14,10,44,0,1,2,1,3,0,1,0,0,0,0,1
3707,30807,1,46,12,1,12,0,0,0,0,0,0,0,1,0,0,0,1
3059,25334,1,135,4,2,12,0,0,0,0,0,0,0,0,0,0,1,0
1660,13745,1,42,12,2,16,0,0,1,0,0,0,0,1,0,0,0,1
1911,15812,0,286,4,2,12,0,0,0,0,0,0,0,0,0,0,0,0
3193,26272,1,205,2,1,2,0,0,0,0,0,0,1,0,0,0,0,1
2120,17496,0,389,16,9,60,0,1,5,1,1,0,2,0,0,0,0,2
379,3338,1,189,14,1,14,1,0,0,0,0,0,0,0,0,0,0,0
2279,18681,1,31,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
3573,29665,0,354,12,8,36,2,1,2,1,0,1,2,0,0,0,0,3
2324,19079,1,87,6,3,18,0,0,1,0,0,0,0,0,0,0,0,0
1180,9883,1,243,26,9,56,1,2,2,1,0,0,3,0,0,0,0,3
2324,19079,1,87,6,3,18,0,0,1,0,0,0,0,0,0,0,0,0
1448,12014,0,263,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
911,7588,1,300,10,3,18,1,0,0,0,0,0,1,0,0,0,0,1
1818,14982,1,265,28,8,56,2,0,2,2,1,0,0,0,0,0,0,0
2545,21021,1,267,10,2,18,0,0,1,0,0,0,0,0,0,0,0,0
3163,26072,1,119,14,2,22,1,0,0,0,0,0,0,1,0,1,0,2
976,8019,1,136,10,2,12,0,0,0,0,0,0,0,0,0,0,1,0
2800,23210,0,263,10,2,14,0,1,0,0,0,0,0,1,0,0,0,1
2544,21013,1,349,14,7,56,2,2,2,0,0,0,1,0,0,0,0,1
3852,31789,1,246,26,4,48,0,0,2,0,0,0,0,0,0,0,0,0
735,6325,1,323,12,2,18,0,0,1,0,0,0,0,0,0,0,0,0
17,125,1,226,14,6,28,2,1,2,0,0,1,0,1,0,0,0,2
2592,21450,1,309,36,1,36,0,1,0,0,0,0,0,0,0,0,0,0
3361,27764,0,97,16,2,22,0,0,2,0,0,0,0,0,0,0,0,0
1787,14734,1,250,4,3,12,0,0,0,0,0,0,0,0,0,0,0,0
1624,13469,1,175,12,2,16,0,0,0,0,1,0,0,0,0,0,0,0
1654,13709,1,100,12,2,14,0,1,0,0,0,0,0,1,0,0,0,1
932,7733,1,158,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0
23,193,1,63,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
589,5345,1,240,12,2,16,0,0,1,0,0,0,0,0,0,0,0,0
2534,20904,1,311,6,1,6,0,0,0,0,0,0,0,0,0,0,1,0
2481,20418,1,397,22,10,72,5,1,2,0,0,0,0,1,0,0,0,1
645,5778,1,117,34,1,34,0,0,1,0,0,0,0,0,0,0,0,0
1934,16025,1,102,16,2,24,0,0,1,0,0,0,0,0,0,0,0,0
1137,9590,1,189,12,2,18,1,0,0,0,0,0,0,0,0,0,0,0
1870,15429,0,277,12,2,14,1,0,0,0,0,2,0,0,0,0,0,2
1744,14374,0,227,16,11,52,1,1,5,1,0,0,0,0,0,0,0,0
2774,22971,1,290,2,10,60,2,1,1,2,0,0,0,0,0,0,0,0
820,6911,1,59,16,1,16,0,0,0,1,0,0,0,0,0,0,1,0
1329,11055,1,329,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0
866,7230,1,161,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
2940,24309,0,267,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
3626,30083,1,262,8,11,30,4,1,2,0,0,1,0,0,1,0,0,2
2081,17206,0,299,14,1,14,0,0,1,0,0,0,0,0,0,0,0,0
1431,11896,1,429,14,11,74,2,1,3,2,1,1,1,0,0,0,0,2
2438,20044,1,267,12,6,42,1,0,1,1,1,2,0,0,0,0,0,2
2238,18428,1,135,6,9,34,0,1,4,1,0,1,1,0,0,0,0,2
179,1505,1,43,10,2,16,1,0,0,0,0,0,0,0,0,0,0,0
2605,21603,1,173,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
706,6168,1,327,12,10,66,2,1,3,1,0,0,2,0,0,0,0,2
3885,32044,1,254,18,1,18,1,0,0,0,0,0,0,0,0,0,0,0
2179,17981,1,152,4,10,30,1,1,1,1,0,0,0,0,0,0,0,0
3796,31379,1,424,24,9,48,2,1,3,2,0,0,0,0,0,0,0,0
2706,22416,0,302,4,3,12,0,0,0,0,0,0,0,0,0,0,0,0
3885,32044,1,254,18,1,18,1,0,0,0,0,0,0,0,0,0,0,0
3281,27059,0,121,36,4,48,1,0,0,2,0,1,0,0,0,0,0,1
2843,23542,1,374,16,6,44,1,0,2,0,1,0,3,1,0,0,0,4
2192,18103,0,263,14,3,24,1,0,1,1,0,0,0,0,0,0,0,0
1678,13855,0,244,8,2,14,0,0,0,1,0,0,0,0,0,0,0,0
1384,11554,0,79,26,1,26,0,0,0,0,0,0,1,0,0,0,0,1
1089,9145,1,252,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
1107,9264,0,341,14,5,34,0,2,2,1,0,0,0,1,0,0,0,1
201,1748,1,203,18,1,18,0,0,1,0,0,0,0,0,0,0,0,0
1875,15482,1,102,8,2,10,0,0,0,0,0,0,0,0,0,0,0,0
289,2532,1,146,14,2,18,0,1,1,0,0,0,0,0,0,0,0,0
2784,23052,1,109,6,3,16,0,0,0,0,0,0,0,0,0,0,0,0
631,5711,1,73,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
1764,14547,0,358,10,10,36,2,2,2,0,2,0,3,0,0,0,0,3
949,7824,0,138,34,2,36,1,0,0,0,1,0,0,0,0,0,0,0
1806,14903,1,236,16,3,34,0,0,1,0,1,0,0,0,0,0,0,0
1196,10012,1,80,18,2,24,1,0,1,0,0,0,0,0,0,0,0,0
2679,22218,1,217,16,1,16,0,0,1,0,0,0,0,0,0,0,0,0
1258,10552,1,364,2,9,42,1,1,0,2,0,0,0,0,0,0,0,0
3629,30108,1,157,2,3,16,1,0,0,0,0,0,0,0,0,0,0,0
2361,19362,1,67,12,2,18,0,0,0,0,1,0,0,0,0,0,0,0
2958,24457,1,102,20,2,26,1,0,0,0,0,2,0,0,0,0,0,2
2536,20937,1,110,14,1,14,0,0,0,1,0,0,0,0,0,0,0,0
1932,16010,1,249,12,1,12,0,0,0,0,0,0,1,0,0,0,0,1
3076,25454,1,129,10,2,14,0,1,0,0,0,2,0,0,0,0,0,2
2737,22668,1,126,14,6,30,1,1,1,0,1,0,0,0,0,1,0,1
639,5755,0,130,22,2,24,1,1,0,0,0,0,0,0,0,0,1,0
3961,32651,1,120,6,8,22,1,0,2,1,0,0,0,0,0,1,0,1
1780,14668,1,205,8,2,10,0,0,0,0,0,0,1,0,0,0,0,1
3728,30989,0,134,6,2,12,0,0,0,0,0,0,0,0,0,0,0,0
1633,13551,1,167,14,11,48,2,1,5,1,1,1,0,0,0,0,0,1
2827,23385,1,240,36,5,56,0,1,3,0,1,0,0,0,0,0,0,0
355,3073,1,277,14,2,20,1,0,1,0,0,0,0,1,0,0,0,1
3558,29551,1,363,4,7,20,1,1,1,0,0,0,2,0,1,0,0,3
54,436,0,310,22,5,32,1,1,0,1,0,2,0,0,0,0,0,2
1420,11817,1,219,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
1451,12026,0,102,16,1,16,0,0,1,0,0,0,0,0,0,0,0,0
2953,24414,1,31,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
3494,28992,0,113,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
1661,13752,0,62,18,2,22,1,0,1,0,0,1,0,1,0,0,0,2
465,4182,0,270,4,2,6,0,0,0,0,0,0,0,0,0,0,1,0
1594,13222,1,328,10,10,58,3,2,2,2,0,0,0,0,0,0,0,0
1549,12826,1,225,22,9,70,1,1,3,1,1,0,1,0,0,0,0,1
2753,22762,1,163,14,6,30,1,2,0,2,0,0,0,0,0,0,0,0
3216,26499,1,93,10,4,26,0,0,0,0,0,0,0,0,0,0,0,0
1109,9283,1,227,24,2,30,1,0,1,0,0,0,0,0,0,0,0,0
3185,26242,1,97,28,1,28,0,0,0,0,1,0,0,0,0,0,1,0
1373,11486,1,193,14,2,18,1,1,0,0,0,0,0,0,0,0,0,0
617,5582,0,29,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
3932,32371,0,152,2,1,2,0,0,0,0,0,0,2,0,0,0,0,2
1082,9068,1,377,4,11,48,0,1,4,0,1,1,1,1,1,1,0,5
3504,29083,0,337,4,12,36,3,0,3,1,1,0,2,0,0,0,0,2
784,6703,1,374,10,5,30,2,0,1,1,0,0,0,1,0,0,0,1
2559,21128,1,164,14,2,20,0,0,0,1,0,1,0,0,0,0,1,1
2547,21028,1,20,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
3096,25579,0,216,12,1,12,0,0,0,0,0,0,1,0,0,0,1,1
957,7907,0,78,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
49,397,1,254,8,2,12,0,0,0,0,0,0,0,0,0,0,0,0
537,4859,1,244,8,2,10,0,0,0,0,0,0,0,0,0,0,0,0
183,1526,0,158,6,9,56,1,1,1,1,1,0,3,0,0,0,1,3
2019,16702,1,278,12,3,24,0,0,1,1,0,0,0,1,0,0,0,1
2668,22117,1,66,22,2,26,0,0,1,0,0,1,0,0,0,0,0,1
2157,17791,1,296,14,7,38,0,0,2,1,1,0,0,0,1,0,0,1
3012,24897,0,97,12,1,12,0,0,0,0,0,1,0,0,0,0,0,1
626,5669,1,175,36,1,36,0,0,0,0,0,0,1,0,0,0,0,1
1553,12875,1,310,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
3198,26344,1,127,16,2,18,0,0,0,0,0,0,0,0,0,0,0,0
2904,23938,1,33,6,1,6,0,0,0,0,0,0,0,1,0,0,1,1
543,4939,1,228,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
1839,15158,1,322,30,2,36,1,0,0,0,0,1,0,0,0,0,0,1
2121,17519,0,89,6,1,6,0,0,0,0,0,0,0,0,0,0,1,0
2398,19645,1,153,30,2,34,1,0,0,0,1,0,1,0,0,0,0,1
2843,23542,1,374,16,6,44,1,0,2,0,1,0,3,1,0,0,0,4
3752,31158,0,227,18,1,18,0,0,1,0,0,0,2,0,0,0,0,2
1067,8927,1,293,12,2,16,1,0,0,0,0,0,0,0,0,0,0,0
905,7559,1,207,16,1,16,0,0,1,0,0,0,0,0,0,0,0,0
3682,30589,1,384,14,8,42,1,0,1,3,2,1,1,0,1,0,0,3
280,2471,0,208,4,2,8,0,0,0,0,0,0,0,0,0,0,0,0
1914,15858,0,148,26,2,30,0,0,2,0,0,0,0,0,0,0,0,0
543,4939,1,228,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
3971,32712,1,299,6,2,10,0,0,0,0,0,0,0,0,0,0,0,0
2534,20904,1,311,6,1,6,0,0,0,0,0,0,0,0,0,0,1,0
2351,19281,1,232,8,7,48,2,1,1,0,0,0,0,0,0,0,0,0
300,2668,1,201,32,1,32,1,0,0,0,0,0,0,0,0,0,0,0
1251,10457,1,255,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
3276,27009,0,154,34,2,40,2,0,0,0,0,0,3,1,0,0,0,4
567,5147,1,276,20,3,26,0,0,1,1,1,0,0,1,0,0,0,1
3625,30081,1,271,16,1,16,0,0,0,1,0,1,0,0,0,0,0,1
815,6889,1,59,30,2,36,1,0,0,0,0,0,1,0,0,0,0,1
1947,16094,1,316,16,4,28,0,0,2,0,0,0,1,0,0,0,1,1
2157,17791,1,296,14,7,38,0,0,2,1,1,0,0,0,1,0,0,1
2019,16702,1,278,12,3,24,0,0,1,1,0,0,0,1,0,0,0,1
3078,25469,0,97,12,2,16,0,0,1,0,0,0,0,0,0,0,0,0
2587,21383,0,333,10,9,42,2,0,0,1,3,2,1,0,0,0,1,3
2593,21455,1,79,2,3,16,1,0,0,1,0,0,0,0,0,0,1,0
499,4549,0,68,12,4,26,0,1,0,2,0,0,0,0,0,0,0,0
3524,29275,1,166,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
3700,30763,1,113,10,2,14,0,0,1,0,0,0,0,0,0,0,0,0
3739,31063,1,292,12,1,12,0,0,0,0,0,0,0,0,0,0,1,0
3626,30083,1,262,8,11,30,4,1,2,0,0,1,0,0,1,0,0,2
2247,18507,1,183,14,2,22,0,0,0,1,0,0,0,0,0,0,1,0
1817,14981,1,75,16,1,16,1,0,0,0,0,0,0,0,0,0,0,0
639,5755,0,130,22,2,24,1,1,0,0,0,0,0,0,0,0,1,0
2467,20277,1,177,14,11,36,1,0,3,0,1,0,0,0,0,0,0,0
760,6551,1,396,12,9,44,1,1,2,0,0,1,2,0,0,0,1,3
2054,16988,0,179,8,2,10,0,0,0,0,0,0,0,0,0,0,1,0
2286,18737,1,228,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
3154,26033,1,221,6,1,6,0,0,0,0,0,0,0,1,0,0,0,1
1750,14411,0,257,14,2,22,1,0,1,0,0,0,0,0,0,0,0,0
1940,16055,0,117,12,2,14,0,0,0,0,0,0,0,1,0,0,0,1
2152,17766,1,61,16,2,22,0,0,0,1,0,0,1,0,0,0,0,1
1678,13855,0,244,8,2,14,0,0,0,1,0,0,0,0,0,0,0,0
3141,25930,1,223,2,5,12,0,0,0,0,0,1,0,0,0,0,0,1
1008,8339,0,301,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0
779,6672,0,53,12,2,18,1,0,0,0,0,0,0,0,0,0,0,0
3595,29825,1,187,34,2,38,0,0,0,1,0,0,1,0,0,0,0,1
255,2227,1,167,18,5,32,1,0,1,3,0,0,0,0,0,0,0,0
3178,26207,1,249,4,7,20,1,0,1,0,0,2,1,0,0,0,0,3
396,3569,1,266,10,4,32,0,0,0,0,2,1,0,0,1,1,0,3
2251,18526,1,26,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
1849,15218,1,190,34,7,48,2,0,5,0,0,0,1,0,0,0,0,1
784,6703,1,374,10,5,30,2,0,1,1,0,0,0,1,0,0,0,1
2375,19458,1,284,14,1,14,0,0,1,0,0,0,0,2,0,0,0,2
3404,28168,0,201,8,2,16,0,0,0,0,0,0,0,0,0,0,0,0
3301,27257,1,450,2,12,32,3,1,1,0,1,0,1,0,1,0,0,2
2110,17419,0,202,10,4,26,1,0,0,1,0,2,0,0,0,0,0,2
1102,9234,1,221,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
2221,18324,0,181,16,2,18,0,1,0,0,0,0,0,0,0,0,0,0
3614,30004,0,275,26,12,64,3,0,3,1,1,0,0,1,0,0,0,1
1496,12427,1,43,16,2,22,1,0,0,0,1,0,0,0,0,0,0,0
2041,16887,0,344,24,10,80,1,1,2,0,2,0,0,0,0,0,1,0
3982,32853,0,148,14,2,22,0,0,0,0,0,0,0,0,0,0,0,0
1363,11396,1,269,10,5,32,2,0,1,0,0,0,0,0,0,0,0,0
3011,24896,1,219,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0
1217,10206,1,415,10,12,68,3,0,2,1,1,2,2,0,0,0,0,4
2246,18493,1,421,12,10,66,1,1,4,1,1,0,2,0,0,0,0,2
374,3270,1,223,10,6,24,0,0,2,1,1,0,0,0,0,0,0,0
2001,16586,0,291,6,1,6,0,0,0,0,0,0,1,0,0,0,0,1
3012,24897,0,97,12,1,12,0,0,0,0,0,1,0,0,0,0,0,1
3422,28336,0,297,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2318,19016,0,161,14,1,14,0,1,0,0,0,1,0,0,0,0,0,1
1442,11994,0,293,12,2,14,1,0,0,0,0,0,0,0,0,0,0,0
1609,13327,0,161,6,2,10,0,0,0,0,0,2,2,0,0,0,0,4
2971,24588,0,110,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1258,10552,1,364,2,9,42,1,1,0,2,0,0,0,0,0,0,0,0
2870,23677,1,225,32,2,40,0,1,0,0,0,1,0,0,0,0,0,1
2300,18897,1,328,10,2,12,0,0,0,0,0,0,0,1,0,0,0,1
3571,29643,1,63,6,2,10,0,0,0,0,0,0,0,0,0,0,0,0
963,7943,1,302,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0
59,450,1,148,22,3,30,1,0,2,0,0,0,0,0,0,0,0,0
3566,29624,1,271,14,3,22,0,1,1,0,0,0,0,0,0,0,0,0
2110,17419,0,202,10,4,26,1,0,0,1,0,2,0,0,0,0,0,2
3027,25059,1,177,6,2,14,1,0,0,0,0,1,0,0,0,0,0,1
3149,25979,1,130,30,1,30,0,0,0,0,0,0,1,0,0,0,0,1
3890,32092,1,139,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
352,3067,0,158,32,2,34,0,0,1,1,0,0,0,0,0,0,0,0
2109,17415,1,244,4,1,4,0,0,0,0,0,2,0,0,0,0,0,2
2487,20458,1,149,4,2,12,0,0,0,0,0,0,1,0,0,0,1,1
3759,31188,0,195,6,2,14,1,0,0,0,0,0,0,0,0,0,1,0
2923,24112,1,176,32,6,68,0,0,2,2,0,0,0,0,1,0,0,1
1609,13327,0,161,6,2,10,0,0,0,0,0,2,2,0,0,0,0,4
511,4653,0,258,28,7,60,0,1,1,1,0,1,3,1,0,1,1,6
2598,21544,1,318,10,2,14,0,0,1,0,0,1,1,0,0,0,0,2
2118,17489,1,212,10,6,22,1,0,0,0,2,0,1,0,0,0,0,1
2939,24304,0,249,32,2,40,0,0,1,0,1,0,1,0,0,0,0,1
440,3943,1,198,8,2,12,0,0,0,0,0,0,0,0,0,0,0,0
1443,11996,1,163,28,2,32,1,0,0,0,0,1,0,0,0,0,0,1
289,2532,1,146,14,2,18,0,1,1,0,0,0,0,0,0,0,0,0
3527,29284,1,114,12,1,12,0,0,0,0,0,1,0,0,0,0,0,1
3190,26266,0,242,10,11,62,0,0,3,1,3,1,0,0,0,0,0,1
3174,26169,1,95,20,1,20,0,0,0,0,0,0,1,0,0,0,0,1
129,1101,1,257,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2541,20980,0,121,4,2,12,0,0,0,0,0,0,0,0,0,0,0,0
428,3779,1,193,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
2031,16805,1,216,16,6,48,2,0,1,1,0,0,0,0,0,0,1,0
2683,22250,1,228,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
2856,23603,1,90,22,1,22,1,0,0,0,0,1,0,0,0,0,0,1
1442,11994,0,293,12,2,14,1,0,0,0,0,0,0,0,0,0,0,0
1337,11113,1,101,16,2,22,0,0,1,0,1,0,0,0,0,0,0,0
1683,13896,1,158,14,1,14,0,0,1,0,0,0,2,0,0,0,0,2
3489,28967,1,360,30,9,74,1,2,3,0,1,0,1,0,0,0,0,1
2521,20777,1,90,12,2,14,0,0,1,0,0,0,0,0,0,0,0,0
213,1825,1,432,12,11,76,3,2,2,0,0,1,2,0,0,0,0,3
1843,15184,1,262,10,2,12,0,0,0,0,0,0,0,0,0,0,0,0
3277,27010,1,141,16,3,24,1,0,2,0,0,0,0,0,0,0,0,0
3033,25132,1,111,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
3254,26782,0,257,4,11,30,0,2,2,0,1,0,0,0,0,0,0,0
3144,25942,1,49,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1420,11817,1,219,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
2672,22148,1,368,24,11,74,2,1,1,1,0,0,2,0,0,0,0,2
3316,27316,1,258,14,1,14,0,0,1,0,0,0,2,0,0,0,0,2
652,5828,1,203,14,1,14,0,1,0,0,0,0,0,0,0,0,0,0
1101,9230,0,219,14,5,40,2,1,1,0,0,0,1,0,0,0,0,1
2440,20050,0,161,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
1210,10131,0,247,14,3,22,1,0,1,0,0,1,0,0,0,0,0,1
3513,29153,0,228,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
3477,28871,0,53,22,3,32,2,0,0,0,0,0,0,0,0,0,0,0
3338,27520,0,217,14,2,16,1,0,1,0,0,1,0,0,0,0,0,1
66,553,1,126,16,8,48,2,1,1,2,0,0,2,1,0,0,0,3
1342,11138,1,292,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
881,7332,1,246,22,2,24,0,1,1,0,0,0,0,0,0,0,0,0
595,5383,0,175,16,2,20,1,0,0,1,0,0,0,0,0,0,0,0
2903,23925,1,284,2,1,2,0,0,0,0,0,1,1,0,0,0,0,2
464,4173,1,128,18,2,24,0,0,1,0,0,1,0,0,0,0,0,1
3110,25688,0,275,24,3,34,1,0,0,0,1,0,0,0,0,0,0,0
1668,13780,1,108,8,2,14,0,1,0,0,0,1,0,0,0,0,0,1
2501,20597,0,114,30,2,32,1,1,0,0,0,0,0,0,0,0,0,0
2694,22335,0,142,10,4,26,0,0,1,1,0,0,0,0,0,0,0,0
45,353,0,317,10,3,28,0,0,0,0,0,1,1,0,0,0,0,2
1021,8423,1,103,22,2,26,0,0,1,0,0,1,0,0,0,0,0,1
3004,24868,1,166,6,3,20,0,0,0,0,0,1,0,0,0,0,0,1
2,29,0,128,8,2,10,0,0,0,0,0,0,0,0,0,0,0,0
2288,18751,0,347,36,6,54,1,0,4,0,0,0,0,1,0,1,0,2
260,2263,0,243,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
1357,11315,0,316,26,8,72,1,1,1,1,1,2,1,0,0,0,1,3
2134,17634,1,199,32,2,34,0,2,0,0,0,0,1,0,0,0,0,1
1349,11234,0,337,10,10,66,3,1,2,0,0,1,2,0,0,0,0,3
2462,20212,1,208,8,1,8,0,0,0,0,0,1,0,0,0,0,0,1
3186,26250,1,275,4,11,40,1,0,3,0,1,0,0,0,0,0,1,0
1998,16548,1,328,4,5,18,0,0,1,0,0,0,1,0,0,0,0,1
3451,28600,0,203,4,4,22,1,0,0,1,0,0,0,0,0,0,0,0
1321,10978,1,294,10,3,22,0,0,1,1,0,0,0,0,0,0,0,0
2595,21471,1,206,14,1,14,0,0,0,1,0,0,1,0,0,0,0,1
253,2213,0,212,16,5,38,1,0,1,2,0,0,1,1,0,0,1,2
2451,20109,0,72,2,2,4,0,0,0,0,0,3,0,0,0,0,0,3
2351,19281,1,232,8,7,48,2,1,1,0,0,0,0,0,0,0,0,0
2133,17633,1,133,34,2,38,0,0,1,0,0,0,0,2,0,0,0,2
595,5383,0,175,16,2,20,1,0,0,1,0,0,0,0,0,0,0,0
882,7333,1,233,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0
3723,30969,1,202,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
3629,30108,1,157,2,3,16,1,0,0,0,0,0,0,0,0,0,0,0
2536,20937,1,110,14,1,14,0,0,0,1,0,0,0,0,0,0,0,0
1733,14287,1,257,8,8,26,0,1,0,2,0,0,0,0,0,0,0,0
