Seq,ID,Gender,Monetary,Recency,Frq,FirstPurch,ChildBks,YouthBks,CookBks,DoItYBks,RefBks,ArtBks,GeogBks,ItalCook,ItalAtlas,ItalArt,Florence,Related 
3603,29901,1,251,14,2,20,1,0,1,0,0,0,0,0,0,0,0,0
1330,11061,0,313,12,2,20,0,0,1,0,0,0,0,0,0,0,0,0
3523,29269,1,189,4,2,8,0,0,0,0,0,0,0,0,0,0,0,0
3446,28558,0,365,14,6,42,0,0,2,1,0,0,1,0,0,0,0,1
3701,30783,1,103,18,1,18,0,0,0,1,0,0,0,0,0,0,0,0
544,4940,1,200,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
2371,19433,0,279,2,2,4,0,0,0,0,0,1,0,1,0,0,0,2
3966,32682,0,194,6,2,8,0,0,0,0,0,2,0,0,0,0,0,2
1093,9162,1,321,2,7,34,2,1,1,0,0,2,0,1,0,2,0,5
12,100,0,320,2,3,18,0,0,0,0,0,1,0,0,0,0,1,1
3803,31416,1,276,12,2,14,1,0,0,0,0,0,0,1,0,0,0,1
627,5670,0,173,16,8,44,3,1,1,1,1,1,0,0,0,0,0,1
766,6596,1,325,16,2,18,0,0,2,0,0,0,0,1,0,0,0,1
9,81,1,252,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
3659,30425,1,99,26,2,32,0,1,0,0,1,1,0,1,0,0,0,2
842,7052,0,201,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
88,712,1,306,10,2,16,0,0,0,0,0,1,0,0,0,0,0,1
560,5077,1,239,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
3952,32599,1,314,34,2,38,1,0,1,0,0,0,0,0,0,0,0,0
2691,22313,1,210,16,2,24,0,0,1,0,1,0,1,0,0,0,0,1
1725,14236,0,110,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
299,2660,0,212,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1684,13898,1,167,4,7,26,2,1,1,1,0,1,0,0,0,0,0,1
2468,20289,1,258,16,2,22,0,0,1,0,0,0,1,0,0,0,0,1
2744,22731,1,40,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
287,2523,1,252,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
138,1149,1,136,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
1973,16362,0,361,10,12,64,3,1,3,2,1,0,0,0,2,0,0,2
262,2294,1,121,12,5,32,1,0,0,1,0,0,0,0,0,0,0,0
3265,26897,1,139,10,2,18,1,0,0,0,0,0,0,0,0,0,0,0
2906,23974,1,183,16,10,50,1,1,3,1,1,0,2,1,0,0,0,3
1865,15391,0,118,10,2,16,1,0,0,0,0,0,0,0,0,0,0,0
1241,10370,1,300,12,2,18,1,0,0,0,0,0,0,0,0,0,0,0
347,3048,0,304,20,2,22,0,0,2,0,0,0,0,0,0,0,0,0
2429,19977,0,176,12,2,18,0,0,1,0,0,3,1,0,0,0,0,4
1073,8976,1,324,2,3,18,0,0,0,0,1,0,0,0,0,0,0,0
561,5083,1,224,32,1,32,0,0,0,1,0,0,0,0,0,0,0,0
2003,16612,1,142,10,2,16,0,1,0,0,0,0,0,0,0,0,0,0
1421,11826,0,39,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
2376,19474,1,267,10,6,28,0,1,2,0,0,0,0,0,1,1,0,2
1079,9026,1,222,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
1584,13130,0,52,20,3,36,1,0,0,1,0,2,0,1,0,1,0,4
1543,12779,1,302,10,2,12,0,0,0,0,0,0,0,0,0,0,0,0
3644,30262,1,417,12,8,36,3,1,2,0,0,1,2,0,0,0,0,3
790,6725,1,118,16,1,16,0,0,0,0,0,0,1,0,0,0,0,1
3583,29744,1,91,24,6,56,2,0,1,1,1,0,0,0,0,0,0,0
720,6249,1,191,20,8,44,3,1,2,0,1,1,0,0,0,0,0,1
592,5355,1,108,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
3579,29716,0,271,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
3428,28376,1,61,12,2,16,0,1,0,0,0,0,0,0,0,0,0,0
547,5010,1,157,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
421,3736,1,57,18,2,24,1,0,0,0,0,0,1,0,0,0,0,1
189,1554,1,128,32,5,48,1,0,1,0,0,0,3,0,0,0,0,3
3171,26154,0,62,12,2,20,0,1,0,0,0,0,0,0,0,0,0,0
2802,23213,1,223,2,1,2,0,0,0,0,0,1,0,0,0,0,0,1
2698,22376,0,193,14,1,14,0,0,0,0,0,0,0,3,0,0,0,3
2242,18456,1,279,8,2,14,1,0,0,0,0,2,0,0,0,0,0,2
3192,26271,1,84,8,2,14,0,0,0,0,0,3,0,0,0,0,0,3
3842,31708,1,297,2,1,2,0,0,0,0,0,0,0,1,0,0,1,1
2187,18077,0,44,22,2,26,1,0,0,1,0,0,0,0,0,0,0,0
2519,20761,0,124,10,1,10,0,0,0,0,0,1,0,0,0,0,0,1
208,1799,1,90,10,2,14,0,1,0,0,0,0,0,0,0,0,0,0
2791,23100,1,290,10,2,16,0,0,1,0,0,0,0,0,0,0,0,0
3895,32125,1,120,14,4,36,0,0,1,0,1,1,0,0,0,0,0,1
2206,18206,0,190,6,2,14,0,0,1,0,0,0,1,0,0,0,0,1
1902,15735,1,259,2,2,6,0,0,0,0,0,0,1,0,0,0,0,1
3949,32579,1,124,12,2,14,1,0,0,0,0,0,0,2,0,0,0,2
439,3927,1,366,10,12,70,3,0,2,1,0,1,2,0,0,0,0,3
3911,32235,1,365,16,8,48,2,0,3,1,1,0,1,0,0,0,0,1
52,409,1,233,30,8,54,0,1,2,2,0,2,1,0,0,0,0,3
1781,14680,0,264,28,1,28,0,0,0,0,1,0,0,0,0,0,0,0
2531,20883,1,190,14,2,22,0,0,0,0,0,0,1,0,0,0,0,1
2142,17725,0,305,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
2428,19969,1,138,8,7,48,0,1,2,0,0,0,0,0,0,0,0,0
3045,25245,0,184,12,10,48,3,0,2,2,0,0,0,0,2,0,0,2
474,4294,1,422,14,9,38,1,0,3,1,1,1,2,0,0,0,0,3
1385,11558,1,281,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0
1524,12647,0,266,2,12,46,2,0,2,1,2,0,1,2,0,0,1,3
2262,18603,1,227,14,2,20,1,0,1,0,0,1,0,0,0,0,1,1
302,2676,1,18,16,1,16,0,1,0,0,0,0,0,0,0,0,0,0
2337,19204,1,191,8,8,26,0,2,3,0,0,0,0,0,0,0,0,0
3332,27452,1,241,14,2,20,0,0,1,0,1,0,0,0,0,0,0,0
103,876,0,176,6,7,20,2,1,1,0,0,0,0,1,0,0,0,1
2252,18528,1,417,16,12,52,6,1,1,1,0,0,2,0,0,0,0,2
2029,16789,0,192,10,11,72,4,1,1,1,0,0,0,0,0,0,0,0
1526,12659,0,258,6,2,10,0,0,0,0,0,0,0,0,0,0,0,0
241,2108,0,282,14,2,18,0,0,0,1,0,1,0,0,0,0,0,1
2270,18652,1,215,4,1,4,0,0,0,0,0,0,0,0,0,0,1,0
2016,16692,1,99,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
3215,26493,1,274,30,2,38,1,0,0,0,1,0,1,0,0,0,0,1
3904,32191,0,280,26,5,52,2,0,0,0,0,0,1,0,0,0,0,1
1561,12938,1,311,10,2,16,0,0,0,1,0,0,0,0,0,0,0,0
1720,14201,1,233,10,9,52,1,1,3,1,0,0,0,0,1,0,0,1
586,5300,0,354,6,9,30,2,1,1,1,0,1,0,1,0,1,0,3
1111,9299,1,192,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
3483,28919,1,90,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2480,20408,1,214,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
3554,29501,1,203,14,2,18,0,1,0,0,1,0,0,0,0,0,0,0
565,5115,1,394,14,8,48,3,1,1,0,1,1,1,0,0,0,0,2
2360,19357,0,219,22,2,26,1,0,0,0,0,0,1,0,0,0,0,1
3747,31127,1,215,32,10,56,4,1,2,0,1,0,0,0,0,0,0,0
2708,22428,0,193,14,3,28,2,0,0,1,0,0,0,3,0,0,0,3
1531,12689,0,310,6,11,68,2,0,3,2,0,0,0,0,0,0,1,0
3649,30302,1,133,8,7,42,0,0,2,1,2,0,0,0,0,1,0,1
2284,18729,1,133,14,2,20,0,1,0,0,0,0,1,0,0,0,0,1
363,3138,1,145,4,2,12,0,0,0,0,0,0,0,0,0,0,0,0
1074,8995,1,238,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
2465,20262,1,225,8,2,14,1,0,0,0,0,0,0,0,0,0,0,0
168,1392,1,69,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
320,2846,1,240,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
331,2924,0,133,16,3,26,0,1,0,1,1,0,0,0,0,0,0,0
186,1531,0,39,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
2130,17588,1,132,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
3976,32756,1,42,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
3002,24858,0,434,24,10,44,2,0,3,3,1,0,1,0,2,0,0,3
3927,32354,1,115,8,1,8,0,0,0,0,0,0,1,0,0,0,0,1
2461,20200,1,418,34,11,64,1,1,2,0,2,0,0,0,0,0,0,0
7,61,1,190,16,1,16,0,0,0,0,0,0,1,0,0,0,0,1
3,46,1,138,22,7,56,2,1,2,0,1,0,1,1,0,0,0,2
708,6177,1,413,30,11,54,2,1,1,0,4,2,1,0,0,0,1,3
430,3819,1,294,16,3,22,1,1,0,0,0,0,1,0,0,0,0,1
239,2096,1,120,14,1,14,0,0,1,0,0,0,0,0,0,0,0,0
3729,30996,1,165,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
690,6082,0,307,18,4,28,1,0,1,0,1,1,0,0,0,0,0,1
1802,14859,0,254,14,2,20,0,0,0,0,2,0,0,0,0,0,0,0
2059,17036,1,134,12,2,14,1,0,0,0,0,0,0,0,0,0,0,0
2298,18887,1,321,16,7,38,1,2,1,1,0,0,1,0,0,0,0,1
1572,13011,1,330,16,3,22,0,0,1,0,1,0,0,0,0,0,0,0
3594,29823,0,295,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
1399,11654,1,60,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0
1214,10183,1,99,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
2456,20159,1,83,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1304,10899,1,136,10,3,26,1,0,1,0,0,0,0,0,0,0,0,0
3636,30185,1,171,4,2,6,0,0,0,0,0,0,0,1,0,0,0,1
773,6638,1,91,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0
1240,10365,1,359,12,12,78,2,1,2,1,2,1,2,1,1,1,0,6
3121,25755,1,58,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0
1282,10744,1,72,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
2641,21926,1,270,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
3834,31623,0,73,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
3283,27081,0,75,36,5,64,1,0,2,0,0,0,1,0,0,0,0,1
1427,11878,0,246,10,6,22,1,1,1,1,1,0,0,1,1,0,0,2
1715,14179,1,275,32,4,40,1,0,1,1,0,0,0,0,0,0,0,0
1215,10190,1,138,8,8,38,2,0,2,1,0,0,0,0,0,0,0,0
803,6801,1,131,14,2,22,1,0,1,0,0,0,0,0,0,0,0,0
358,3094,0,230,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0
1705,14063,0,256,12,2,18,1,0,0,0,0,0,0,0,0,0,0,0
457,4114,0,193,16,5,34,0,0,1,0,2,1,1,0,0,0,0,2
3211,26479,0,374,20,6,46,1,2,1,0,1,0,3,0,0,0,0,3
1735,14297,1,269,26,8,52,0,1,2,2,1,0,2,0,0,0,0,2
2662,22069,1,295,14,1,14,0,0,1,0,0,0,2,0,0,0,0,2
2165,17894,1,191,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0
3444,28549,1,148,16,1,16,1,0,0,0,0,0,0,0,0,1,0,1
265,2304,1,107,14,6,36,1,0,2,0,2,0,1,0,0,0,0,1
2765,22872,1,289,16,2,24,0,1,1,0,0,0,0,0,0,0,0,0
3760,31194,1,226,30,11,58,2,2,3,1,0,1,0,1,2,0,0,4
2226,18359,0,203,2,1,2,0,0,0,0,0,2,0,0,0,0,0,2
1086,9132,1,183,6,3,18,0,0,0,0,0,1,0,0,0,0,1,1
1017,8399,1,182,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
3195,26288,0,399,36,7,74,0,0,2,1,1,0,0,0,0,0,0,0
3073,25440,1,300,8,1,8,0,0,0,0,0,0,0,2,0,0,0,2
1481,12320,1,65,14,1,14,0,0,0,0,0,0,0,0,0,0,0,0
2636,21873,0,84,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2097,17319,1,437,2,11,42,2,0,1,0,0,0,1,0,0,0,1,1
2867,23663,0,42,8,1,8,0,0,0,0,0,0,1,0,0,0,0,1
1611,13341,0,224,2,12,62,1,0,3,1,3,0,2,0,1,0,0,3
3836,31653,1,283,12,10,70,2,0,3,0,1,1,1,0,0,0,0,2
229,2020,1,68,16,1,16,0,0,0,0,0,1,0,0,0,0,0,1
3704,30788,0,316,34,7,48,1,0,2,1,0,0,1,0,0,1,0,2
3116,25734,0,146,10,1,10,0,0,0,0,0,2,0,2,0,0,0,4
1971,16346,0,326,14,6,44,0,0,0,0,2,0,1,2,0,0,0,3
2014,16690,1,174,10,1,10,0,0,0,0,0,0,1,0,0,0,1,1
3282,27065,1,193,16,2,20,1,0,1,0,0,0,0,0,0,0,0,0
1053,8722,1,227,26,6,38,1,1,1,0,0,0,3,0,0,0,0,3
921,7666,1,400,14,9,56,1,0,2,2,0,2,2,1,0,0,0,5
417,3706,1,261,22,2,30,0,0,1,0,0,0,1,0,0,0,0,1
3930,32366,1,240,4,2,8,0,0,0,0,0,0,0,0,0,0,0,0
403,3640,1,97,16,2,18,0,0,0,0,1,1,0,0,0,0,0,1
2562,21150,1,254,32,10,88,2,1,4,0,1,0,0,1,0,1,0,2
1311,10935,1,152,12,2,18,0,1,0,0,0,0,0,0,0,0,0,0
3766,31226,0,25,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
3003,24861,1,241,10,3,24,1,0,0,1,0,1,0,0,0,0,0,1
676,5935,1,93,14,2,16,0,0,1,0,0,1,0,0,0,0,0,1
523,4756,1,291,32,1,32,0,0,0,0,0,0,1,0,0,0,0,1
789,6724,1,314,10,7,42,0,0,3,0,2,0,1,0,0,0,0,1
1138,9595,1,162,12,2,16,1,0,0,0,0,0,0,0,0,0,0,0
1486,12359,0,279,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
1416,11797,1,302,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
2049,16937,1,75,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
2490,20508,0,260,8,8,28,1,0,0,2,3,1,2,0,0,0,0,3
459,4131,0,195,16,2,20,0,0,1,0,1,0,0,0,0,0,0,0
3202,26374,1,328,8,2,14,0,0,0,0,1,0,2,0,0,0,0,2
3181,26219,0,307,24,2,30,2,0,0,0,0,1,0,0,0,0,0,1
636,5729,1,285,4,9,40,1,0,2,0,0,1,0,0,0,0,0,1
3618,30026,0,288,2,5,16,1,0,0,0,0,0,0,0,0,0,0,0
1783,14696,1,312,8,7,30,0,0,3,1,1,0,0,0,0,0,0,0
1049,8673,1,183,12,11,62,3,2,3,1,0,0,1,0,0,0,0,1
3039,25165,1,63,24,2,32,0,1,0,1,0,0,0,1,0,0,0,1
1803,14864,0,281,16,2,22,0,0,0,0,0,0,0,0,0,0,0,0
1723,14213,0,342,16,5,36,3,0,1,0,1,0,0,0,0,0,0,0
2235,18416,1,274,2,2,8,0,0,0,0,0,1,0,0,0,0,1,1
2167,17899,1,92,20,4,32,1,0,1,0,1,0,0,0,0,0,0,0
1862,15365,1,166,10,10,58,2,1,2,2,0,1,1,0,0,0,0,2
3548,29459,1,126,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0
3336,27511,1,277,14,10,72,2,0,5,1,1,0,0,0,0,1,0,1
1890,15633,0,125,4,7,20,0,0,1,2,0,0,0,0,0,0,0,0
947,7817,1,66,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0
415,3695,1,65,16,1,16,0,0,0,0,0,0,1,0,0,0,0,1
2160,17849,0,378,12,11,44,1,1,2,2,2,0,0,0,0,0,0,0
409,3672,1,320,6,3,18,0,1,0,0,0,0,1,0,0,0,0,1
1953,16161,1,233,8,2,14,1,0,0,0,0,0,0,0,0,0,0,0
1804,14867,1,162,36,6,66,1,0,1,1,1,0,0,0,0,0,0,0
2422,19920,1,216,26,2,34,0,0,0,1,0,0,0,0,0,0,0,0
1570,13002,1,222,12,3,24,0,0,1,0,0,0,1,0,0,0,0,1
2338,19220,1,76,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
3414,28230,0,180,14,1,14,0,0,1,0,0,0,0,0,0,0,1,0
476,4338,0,170,24,2,30,0,0,2,0,0,0,0,1,0,0,0,1
525,4767,1,320,16,2,20,0,0,1,0,0,1,0,0,0,0,0,1
3680,30578,1,348,14,8,58,0,0,5,0,2,0,0,0,0,0,0,0
2433,20024,0,223,4,1,4,0,0,0,0,0,1,0,0,0,0,0,1
1753,14432,0,258,16,2,24,1,0,1,0,0,0,0,0,0,0,0,0
3674,30547,1,108,8,3,26,0,0,1,0,0,0,1,0,0,0,0,1
1614,13355,1,87,8,4,18,0,0,0,1,1,0,0,0,0,0,0,0
38,282,1,285,14,11,52,2,0,3,4,0,1,1,1,0,0,0,3
1571,13004,0,332,28,5,44,2,0,0,1,1,0,1,0,0,2,0,3
2200,18156,0,212,10,1,10,0,0,0,0,0,0,1,0,0,0,0,1
1225,10240,1,216,8,2,16,1,0,0,0,0,0,0,0,0,0,0,0
3040,25183,0,218,14,1,14,0,0,0,0,0,0,0,0,0,0,0,0
806,6828,0,103,14,6,48,2,0,1,1,1,0,1,0,0,0,0,1
641,5765,1,148,4,5,22,0,0,0,0,2,0,0,0,0,0,1,0
1757,14467,1,328,12,10,36,3,2,1,0,1,0,0,0,0,0,0,0
3928,32355,0,122,14,1,14,0,0,1,0,0,0,0,0,0,0,1,0
1977,16383,0,184,14,2,16,1,0,0,1,0,0,2,2,0,0,0,4
3453,28637,1,244,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
535,4829,1,228,8,10,46,1,0,3,2,0,0,1,2,0,0,0,3
3384,27968,1,54,18,2,22,0,0,1,0,0,0,0,0,0,0,0,0
135,1138,1,51,4,2,12,0,0,0,0,0,0,0,0,0,0,0,0
1630,13543,1,282,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
880,7331,0,121,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
2349,19266,1,143,20,2,28,0,0,0,0,1,1,0,0,0,0,0,1
481,4380,0,37,16,2,20,1,0,0,0,1,0,0,0,0,0,0,0
3912,32238,0,326,12,2,20,1,0,0,0,0,0,0,0,0,0,0,0
2921,24110,0,104,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
2966,24543,1,82,34,3,44,1,0,0,1,0,0,0,0,0,0,0,0
582,5250,1,131,14,4,28,0,0,3,1,0,0,0,0,0,0,0,0
743,6396,1,190,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
362,3107,1,34,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
3800,31393,1,306,28,12,82,2,1,2,4,1,1,0,0,0,0,0,1
3978,32805,1,20,16,1,16,0,0,0,1,0,0,0,0,0,0,0,0
1192,9980,1,129,22,1,22,0,0,1,0,0,0,0,0,0,0,0,0
1426,11877,1,80,34,1,34,0,0,0,0,0,0,1,0,0,0,0,1
2913,24020,1,237,34,1,34,0,0,0,0,0,0,0,0,0,0,0,0
579,5235,0,400,6,11,52,1,0,3,2,0,3,0,0,0,0,1,3
3434,28446,1,47,34,1,34,1,0,0,0,0,0,0,1,0,0,0,1
1249,10447,1,226,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
3200,26348,0,100,24,1,24,0,0,0,0,0,0,0,0,0,0,0,0
3549,29463,1,49,12,1,12,0,0,0,0,0,0,0,0,0,0,1,0
3238,26672,1,265,10,2,16,0,0,0,0,1,1,0,0,0,0,0,1
1876,15485,1,207,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1590,13191,1,212,8,7,36,1,0,3,0,1,1,1,0,0,1,0,3
2546,21027,1,90,16,2,20,0,0,0,0,0,0,0,0,0,0,0,0
3845,31724,1,286,10,1,10,0,0,0,0,0,0,1,0,0,0,1,1
764,6588,1,191,14,2,20,1,0,0,0,1,0,0,0,0,0,0,0
120,1048,1,189,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
2377,19488,0,81,10,2,16,0,1,0,0,0,1,0,0,0,0,0,1
2761,22825,0,268,14,5,36,3,0,1,0,1,0,0,0,0,0,0,0
29,225,1,172,16,1,16,0,0,0,0,1,0,0,0,0,0,0,0
1769,14578,1,338,10,12,54,2,1,5,3,0,0,0,0,0,0,0,0
1114,9357,1,215,10,8,42,0,2,1,1,1,1,1,0,0,0,0,2
936,7745,1,41,18,2,20,0,1,0,0,0,1,0,0,0,0,0,1
86,706,1,128,10,2,16,1,0,0,0,0,0,0,0,0,0,0,0
2474,20353,0,225,2,8,30,2,0,1,0,0,0,0,0,0,0,0,0
3564,29614,0,107,4,2,10,0,0,0,0,0,0,0,1,0,0,0,1
1119,9414,0,116,6,5,28,1,0,0,0,1,0,0,0,0,0,1,0
388,3493,1,198,26,2,30,1,0,0,0,0,1,0,0,0,0,0,1
3828,31565,1,297,16,2,22,0,0,0,1,0,2,0,0,0,0,0,2
3419,28273,0,112,24,2,32,0,0,0,0,0,0,1,0,0,0,0,1
648,5800,1,185,6,2,12,0,0,0,0,0,0,0,0,0,0,0,0
