srno,presz,postsz ,inc ,year ,lf,y1,y2,y3
1,113.6,127.7,14.1,NA,0,0,0,0
2,118.1,133.2,15.1,NA,0,0,0,0
3,119.9,135.3,15.4,NA,0,0,0,0
4,126.2,143.3,17.1,NA,0,0,0,0
5,126.7,139.3,12.6,NA,0,0,0,0
6,127.3,140.2,12.9,NA,0,0,0,0
7,128.2,143.8,15.6,NA,0,0,0,0
8,129.5,144.6,15.1,NA,0,0,0,0
9,130.5,147.6,17.1,NA,0,0,0,0
10,131.6,144.8,13.2,NA,0,0,0,0
11,131.7,146.8,15.1,NA,0,0,0,0
12,132.2,145.9,13.7,NA,0,0,0,0
13,132.4,151,18.6,NA,0,0,0,0
14,132.8,148.7,15.9,NA,0,0,0,0
15,132.8,147.8,15,NA,0,0,0,0
16,133.6,148.3,14.7,NA,0,0,0,0
17,133.8,149.2,15.4,NA,0,0,0,0
18,134.1,149,14.9,NA,0,0,0,0
19,134.3,149.2,14.9,NA,0,0,0,0
20,134.6,148.7,14.1,NA,0,0,0,0
21,135.2,149,13.8,NA,0,0,0,0
22,135.2,151.1,15.9,NA,0,0,0,0
23,135.5,150.4,14.9,NA,0,0,0,0
24,135.6,149.4,13.8,NA,0,0,0,0
25,136.1,150,13.9,NA,0,0,0,0
26,136.2,151,14.8,NA,0,0,0,0
27,136.3,150,13.7,NA,0,0,0,0
28,136.4,150.7,14.3,NA,0,0,0,0
29,136.7,147.6,10.9,NA,0,0,0,0
30,136.8,151.9,15.1,NA,0,0,0,0
31,136.9,151.5,14.6,NA,0,0,0,0
32,137.3,151.1,13.8,NA,0,0,0,0
33,137.4,151,13.6,NA,0,0,0,0
34,137.6,151.8,14.2,NA,0,0,0,0
35,137.6,150.9,13.3,NA,0,0,0,0
36,137.6,150,12.4,NA,0,0,0,0
37,138,154,16,NA,0,0,0,0
38,138.2,152.6,14.4,NA,0,0,0,0
39,138.3,152.6,14.3,NA,0,0,0,0
40,138.3,152.6,14.3,NA,0,0,0,0
41,138.3,151.1,12.8,NA,0,0,0,0
42,138.5,151.4,12.9,NA,0,0,0,0
43,138.9,155,16.1,NA,0,0,0,0
44,139.2,151.8,12.6,NA,0,0,0,0
45,139.5,154.2,14.7,NA,0,0,0,0
46,139.5,154,14.5,NA,0,0,0,0
47,140,151.9,11.9,NA,0,0,0,0
48,140.1,155.5,15.4,NA,0,0,0,0
49,140.2,155.9,15.7,NA,0,0,0,0
50,140.3,153.1,12.8,NA,0,0,0,0
51,140.3,155.4,15.1,NA,0,0,0,0
52,140.6,154.2,13.6,NA,0,0,0,0
53,140.7,153,12.3,NA,0,0,0,0
54,141,151.7,10.7,NA,0,0,0,0
55,141.3,153.4,12.1,NA,0,0,0,0
56,141.3,154,12.7,NA,0,0,0,0
57,141.3,155.6,14.3,NA,0,0,0,0
58,141.3,156.2,14.9,NA,0,0,0,0
59,141.5,155.6,14.1,NA,0,0,0,0
60,142,154.3,12.3,NA,0,0,0,0
61,142,158.2,16.2,NA,0,0,0,0
62,142.3,155.6,13.3,NA,0,0,0,0
63,142.3,156.5,14.2,NA,0,0,0,0
64,142.4,157.3,14.9,NA,0,0,0,0
65,142.7,155.8,13.1,NA,0,0,0,0
66,142.9,156.6,13.7,NA,0,0,0,0
67,143,155.9,12.9,NA,0,0,0,0
68,143.1,156.6,13.5,NA,0,0,0,0
69,143.5,155,11.5,NA,0,0,0,0
70,143.6,158.2,14.6,NA,0,0,0,0
71,143.7,158.7,15,NA,0,0,0,0
72,143.7,155.9,12.2,NA,0,0,0,0
73,143.7,159.1,15.4,NA,0,0,0,0
74,143.9,155.6,11.7,NA,0,0,0,0
75,144,158.6,14.6,NA,0,0,0,0
76,144.5,154.3,9.8,NA,0,0,0,0
77,144.6,161.6,17,NA,0,0,0,0
78,144.6,157,12.4,NA,0,0,0,0
79,144.7,154.6,9.9,NA,0,0,0,0
80,145,157.9,12.9,NA,0,0,0,0
81,145.2,160,14.8,NA,0,0,0,0
82,145.4,159.9,14.5,NA,0,0,0,0
83,145.4,157.1,11.7,NA,0,0,0,0
84,145.7,159.9,14.2,NA,0,0,0,0
85,145.7,157,11.3,NA,0,0,0,0
86,145.7,159.6,13.9,NA,0,0,0,0
87,145.9,160.6,14.7,NA,0,0,0,0
88,146,155.6,9.6,NA,0,0,0,0
89,147.2,159.6,12.4,NA,0,0,0,0
90,147.4,162.7,15.3,NA,0,0,0,0
91,147.6,158.3,10.7,NA,0,0,0,0
92,148,160.1,12.1,NA,0,0,0,0
93,148.1,163.7,15.6,NA,0,0,0,0
94,148.1,163.2,15.1,NA,0,0,0,0
95,151,164.7,13.7,NA,0,0,0,0
96,151.2,163.5,12.3,NA,0,0,0,0
97,153.9,166.5,12.6,NA,0,0,0,0
98,115.6,130.8,15.2,NA,0,0,0,0
99,123,141.6,18.6,NA,0,0,0,0
100,124.4,142.5,18.1,NA,0,0,0,0
101,136.1,147.5,11.4,NA,0,0,0,0
102,136.9,151.4,14.5,NA,0,0,0,0
103,138.6,154.2,15.6,NA,0,0,0,0
104,139.7,152.3,12.6,NA,0,0,0,0
106,141.3,156.6,15.3,NA,0,0,0,0
107,143.7,154.6,10.9,NA,0,0,0,0
108,144.2,157.8,13.6,NA,0,0,0,0
109,146.4,161.7,15.3,NA,0,0,0,0
110,147.8,160.6,12.8,NA,0,0,0,0
111,147.9,156,8.1,NA,0,0,0,0
112,142.3,154.8,12.5,81,1,0,0,1
113,125.1,142.5,17.4,81,1,0,0,1
114,140.8,154.9,14.1,81,1,0,0,1
115,122.4,136.5,14.1,81,1,0,0,1
116,133.2,146.6,13.4,81,1,0,0,1
117,138.9,151.5,12.6,81,1,0,0,1
118,143.1,154.4,11.3,81,1,0,0,1
119,139.7,152.2,12.5,81,1,0,0,1
120,140.4,155.3,14.9,81,1,0,0,1
121,116.6,133.3,16.7,81,1,0,0,1
122,137.4,149.7,12.3,81,1,0,0,1
123,143,157.5,14.5,81,1,0,0,1
124,143.2,155.3,12.1,81,1,0,0,1
125,140.8,152.9,12.1,81,1,0,0,1
126,140.7,154.3,13.6,81,1,0,0,1
127,130.8,143.1,12.3,81,1,0,0,1
128,131.8,145.2,13.4,81,1,0,0,1
129,120.6,135.4,14.8,81,1,0,0,1
130,140.1,153.5,13.4,81,1,0,0,1
131,133,148.9,15.9,81,1,0,0,1
132,122.9,139.1,16.2,81,1,0,0,1
133,143,155.4,12.4,81,1,0,0,1
134,139.5,154.7,15.2,81,1,0,0,1
135,137.5,149.5,12,81,1,0,0,1
136,136.7,151.5,14.8,81,1,0,0,1
137,145.9,160.1,14.2,81,1,0,0,1
138,143.1,153.2,10.1,81,1,0,0,1
139,128.5,142,13.5,81,1,0,0,1
140,141.1,153.8,12.7,81,1,0,0,1
141,150.9,164.9,14,81,1,0,0,1
142,144.6,155.7,11.1,81,1,0,0,1
143,143.3,155.8,12.5,81,1,0,0,1
144,146.5,158.9,12.4,81,1,0,0,1
145,143.5,155.2,11.7,81,1,0,0,1
146,150.2,164.1,13.9,81,1,0,0,1
147,148.3,161.3,13,81,1,0,0,1
148,143.1,156.7,13.6,81,1,0,0,1
149,135.7,148.2,12.5,81,1,0,0,1
150,143.4,156.5,13.1,81,1,0,0,1
151,133,147.8,14.8,81,1,0,0,1
152,143.2,157.7,14.5,81,1,0,0,1
153,137,149.1,12.1,81,1,0,0,1
154,140.8,151.5,10.7,81,1,0,0,1
155,132.8,146.7,13.9,81,1,0,0,1
156,134.7,148.5,13.8,81,1,0,0,1
157,142.4,156.6,14.2,81,1,0,0,1
158,141.2,155,13.8,81,1,0,0,1
159,111.9,129.5,17.6,81,1,0,0,1
160,84.3,101.4,17.1,81,1,0,0,1
161,109.8,128.9,19.1,81,1,0,0,1
162,83.8,101.9,18.1,81,1,0,0,1
163,86.1,105.1,19,81,1,0,0,1
164,92,114.8,22.8,81,1,0,0,1
165,71.4,91.5,20.1,81,1,0,0,1
166,77.9,96.4,18.5,81,1,0,0,1
167,75.2,94.5,19.3,81,1,0,0,1
168,113.1,131.1,18,81,1,0,0,1
169,71.4,93.8,22.4,81,1,0,0,1
170,81.4,101.3,19.9,81,1,0,0,1
171,74.8,95.5,20.7,81,1,0,0,1
172,62.7,82.3,19.6,81,1,0,0,1
173,75.8,97.2,21.4,81,1,0,0,1
174,74.2,92.1,17.9,81,1,0,0,1
175,72.4,96.3,23.9,81,1,0,0,1
176,83.6,104.6,21,81,1,0,0,1
179,88.3,110.2,21.9,81,1,0,0,1
180,98.2,120,21.8,82,1,0,1,0
181,102.1,121.9,19.8,82,1,0,1,0
182,116.1,134.8,18.7,82,1,0,1,0
183,135.6,148,12.4,82,1,0,1,0
184,143.2,158.2,15,82,1,0,1,0
185,142.9,154.8,11.9,82,1,0,1,0
186,123.4,141.8,18.4,82,1,0,1,0
187,125.5,141.6,16.1,82,1,0,1,0
188,129.5,146.6,17.1,82,1,0,1,0
189,120.1,133.8,13.7,82,1,0,1,0
190,122.5,136.5,14,82,1,0,1,0
191,123.3,140.9,17.6,82,1,0,1,0
192,127.8,140.4,12.6,82,1,0,1,0
193,134.7,148.5,13.8,82,1,0,1,0
194,128.6,145.8,17.2,82,1,0,1,0
195,124.2,142.8,18.6,82,1,0,1,0
196,125.5,142.4,16.9,82,1,0,1,0
197,131.4,149.1,17.7,82,1,0,1,0
198,136.1,149.5,13.4,82,1,0,1,0
199,110.6,127.6,17,82,1,0,1,0
200,122.3,136.2,13.9,82,1,0,1,0
201,134.1,145.8,11.7,82,1,0,1,0
202,138.3,154.2,15.9,82,1,0,1,0
203,133.3,147.1,13.8,82,1,0,1,0
204,149.8,159.4,9.6,82,1,0,1,0
205,149.2,162.6,13.4,82,1,0,1,0
206,142.5,151.5,9,82,1,0,1,0
207,104.6,118,13.4,82,1,0,1,0
208,127.1,145.5,18.4,82,1,0,1,0
209,129.8,148.2,18.4,82,1,0,1,0
210,121.1,135.9,14.8,82,1,0,1,0
211,119.2,136.1,16.9,82,1,0,1,0
212,110.9,128.6,17.7,82,1,0,1,0
213,122.5,139.8,17.3,82,1,0,1,0
214,119.3,136.7,17.4,82,1,0,1,0
215,118.2,135.1,16.9,82,1,0,1,0
216,137.5,149,11.5,82,1,0,1,0
217,148.9,163.7,14.8,82,1,0,1,0
218,131.3,149.8,18.5,82,1,0,1,0
219,126.9,143.2,16.3,82,1,0,1,0
220,129.3,143.2,13.9,82,1,0,1,0
221,144.3,157,12.7,82,1,0,1,0
222,137.2,152.7,15.5,82,1,0,1,0
223,139,153.6,14.6,82,1,0,1,0
224,123.3,140.6,17.3,82,1,0,1,0
225,138.4,151.7,13.3,82,1,0,1,0
226,111.7,132,20.3,82,1,0,1,0
227,117.2,132.5,15.3,82,1,0,1,0
228,142,154.5,12.5,82,1,0,1,0
229,130,143.3,13.3,82,1,0,1,0
230,122.3,138.1,15.8,82,1,0,1,0
231,114.7,126.7,12,82,1,0,1,0
232,119.3,132.4,13.1,82,1,0,1,0
233,131.7,149.3,17.6,82,1,0,1,0
234,120.3,139.3,19,82,1,0,1,0
235,136.2,151.5,15.3,82,1,0,1,0
236,154.5,166.8,12.3,82,1,0,1,0
237,109.5,126.8,17.3,82,1,0,1,0
238,139.2,152.1,12.9,82,1,0,1,0
239,108.3,126.9,18.6,82,1,0,1,0
240,128.5,145.4,16.9,82,1,0,1,0
241,144.5,156.3,11.8,82,1,0,1,0
242,123.3,142.7,19.4,82,1,0,1,0
243,117.7,132.9,15.2,82,1,0,1,0
244,119.7,137.9,18.2,82,1,0,1,0
245,113.6,126.1,12.5,82,1,0,1,0
246,148.2,160.4,12.2,82,1,0,1,0
247,155.1,166.2,11.1,82,1,0,1,0
248,131,145.4,14.4,82,1,0,1,0
249,132.2,144.3,12.1,82,1,0,1,0
250,144.9,156.8,11.9,82,1,0,1,0
251,112.5,131.2,18.7,82,1,0,1,0
252,124.1,140.8,16.7,82,1,0,1,0
253,113.9,130.8,16.9,82,1,0,1,0
254,135.5,149.7,14.2,82,1,0,1,0
255,142.4,156.7,14.3,82,1,0,1,0
256,121.3,136.1,14.8,82,1,0,1,0
257,136.7,150.1,13.4,82,1,0,1,0
258,122,140.7,18.7,82,1,0,1,0
259,125.6,139.4,13.8,82,1,0,1,0
260,149.9,160.1,10.2,82,1,0,1,0
261,123.3,138.2,14.9,82,1,0,1,0
262,133.6,148.6,15,82,1,0,1,0
263,138.8,152,13.2,82,1,0,1,0
264,110.7,128.2,17.5,82,1,0,1,0
265,111.5,126.7,15.2,82,1,0,1,0
266,124.8,142.5,17.7,82,1,0,1,0
267,126.2,139.7,13.5,82,1,0,1,0
268,138.6,151.8,13.2,82,1,0,1,0
269,125.2,141.1,15.9,82,1,0,1,0
270,126.2,140.7,14.5,82,1,0,1,0
271,145.1,157.5,12.4,82,1,0,1,0
272,126,143.8,17.8,82,1,0,1,0
273,110.5,127.7,17.2,82,1,0,1,0
274,140.5,155.2,14.7,82,1,0,1,0
275,128.6,146.9,18.3,82,1,0,1,0
276,103.9,125,21.1,82,1,0,1,0
277,118.9,133.5,14.6,82,1,0,1,0
278,131,144.4,13.4,82,1,0,1,0
279,141.4,154.6,13.2,82,1,0,1,0
280,139.2,154.4,15.2,82,1,0,1,0
281,119.8,138.6,18.8,82,1,0,1,0
282,115,133.7,18.7,82,1,0,1,0
283,139.8,153.2,13.4,82,1,0,1,0
284,144.5,159.1,14.6,82,1,0,1,0
285,134.7,149.5,14.8,82,1,0,1,0
286,126.1,144.7,18.6,82,1,0,1,0
287,130.4,147.3,16.9,82,1,0,1,0
288,120.8,138.4,17.6,82,1,0,1,0
289,119.2,136.9,17.7,82,1,0,1,0
290,132.3,146.6,14.3,82,1,0,1,0
291,106.3,124.5,18.2,82,1,0,1,0
292,125.7,144.1,18.4,82,1,0,1,0
293,107.6,124.4,16.8,82,1,0,1,0
294,128.5,142.2,13.7,82,1,0,1,0
295,119.5,134.1,14.6,92,1,1,0,0
296,116.2,133.8,17.6,92,1,1,0,0
297,112.3,127.8,15.5,92,1,1,0,0
298,115.6,132.3,16.7,92,1,1,0,0
299,119,135.6,16.6,92,1,1,0,0
300,113.6,130.3,16.7,92,1,1,0,0
301,111.6,128.7,17.1,92,1,1,0,0
303,117.5,133.4,15.9,92,1,1,0,0
304,136.3,151.6,15.3,92,1,1,0,0
305,125.2,140.6,15.4,92,1,1,0,0
306,128.9,144.6,15.7,92,1,1,0,0
307,132,147.7,15.7,92,1,1,0,0
308,140.4,154.8,14.4,92,1,1,0,0
309,121.6,139.1,17.5,92,1,1,0,0
310,108.6,124.2,15.6,92,1,1,0,0
311,111.8,129.5,17.7,92,1,1,0,0
312,107.2,123.7,16.5,92,1,1,0,0
313,115.9,130.6,14.7,92,1,1,0,0
314,121.4,134.7,13.3,92,1,1,0,0
315,137.4,153.9,16.5,92,1,1,0,0
316,133.7,148.4,14.7,92,1,1,0,0
317,115.7,130.1,14.4,92,1,1,0,0
318,122.2,135.8,13.6,92,1,1,0,0
319,126.2,140.3,14.1,92,1,1,0,0
320,125.5,138.7,13.2,92,1,1,0,0
321,128.3,140.6,12.3,92,1,1,0,0
322,112.9,127.6,14.7,92,1,1,0,0
323,110.8,127.7,16.9,92,1,1,0,0
324,111,127.5,16.5,92,1,1,0,0
325,125.3,138.3,13,92,1,1,0,0
326,110.9,127.3,16.4,92,1,1,0,0
327,137.7,151.5,13.8,92,1,1,0,0
328,126.6,140.5,13.9,92,1,1,0,0
329,112,128.5,16.5,92,1,1,0,0
330,130.5,145.9,15.4,92,1,1,0,0
331,119.6,135.5,15.9,92,1,1,0,0
332,108.8,125.4,16.6,92,1,1,0,0
333,132.9,146.3,13.4,92,1,1,0,0
334,126,144.5,18.5,92,1,1,0,0
335,130.8,148.8,18,92,1,1,0,0
336,111.9,127.8,15.9,92,1,1,0,0
337,120.7,137.7,17,92,1,1,0,0
338,135.7,149.6,13.9,92,1,1,0,0
339,112.6,128,15.4,92,1,1,0,0
340,123.1,141.8,18.7,92,1,1,0,0
341,121,138.5,17.5,92,1,1,0,0
342,119.9,136.1,16.2,92,1,1,0,0
343,113.6,130.1,16.5,92,1,1,0,0
344,122.7,139.2,16.5,92,1,1,0,0
345,140,153.4,13.4,92,1,1,0,0
346,125.5,141.6,16.1,92,1,1,0,0
347,122.1,138.6,16.5,92,1,1,0,0
348,140.7,153,12.3,92,1,1,0,0
349,127,139.8,12.8,92,1,1,0,0
350,127.6,140.8,13.2,92,1,1,0,0
351,122.6,138,15.4,92,1,1,0,0
352,135,146.7,11.7,92,1,1,0,0
353,119.4,135.9,16.5,92,1,1,0,0
354,130.4,144.4,14,92,1,1,0,0
355,125,138.5,13.5,92,1,1,0,0
356,108.9,125.3,16.4,92,1,1,0,0
357,114.8,131.9,17.1,92,1,1,0,0
358,121.6,134.3,12.7,92,1,1,0,0
359,134.8,147.8,13,92,1,1,0,0
360,133.9,147.7,13.8,92,1,1,0,0
361,128.1,144.2,16.1,92,1,1,0,0
362,115.3,132,16.7,92,1,1,0,0
363,120.9,136.1,15.2,92,1,1,0,0
364,130.2,148.1,17.9,92,1,1,0,0
365,132.7,147.5,14.8,92,1,1,0,0
366,108,122.4,14.4,92,1,1,0,0
367,133.9,147.7,13.8,92,1,1,0,0
368,128.1,144.2,16.1,92,1,1,0,0
369,115.3,132,16.7,92,1,1,0,0
370,120.9,136.1,15.2,92,1,1,0,0
371,130.2,148.1,17.9,92,1,1,0,0
372,132.7,147.5,14.8,92,1,1,0,0
373,108,122.4,14.4,92,1,1,0,0
374,118.7,135.8,17.1,92,1,1,0,0
375,120,135.2,15.2,92,1,1,0,0
376,109.1,126.5,17.4,92,1,1,0,0
377,124.1,140.3,16.2,92,1,1,0,0
378,133.2,145.8,12.6,92,1,1,0,0
379,139.6,152.1,12.5,92,1,1,0,0
380,133.9,147,13.1,92,1,1,0,0
381,137.2,150.4,13.2,92,1,1,0,0
382,143.1,155.7,12.6,92,1,1,0,0
383,128.8,140.5,11.7,92,1,1,0,0
384,121.7,139.3,17.6,92,1,1,0,0
385,116.3,131.5,15.2,92,1,1,0,0
386,130.1,142.7,12.6,92,1,1,0,0
387,146.4,158.2,11.8,92,1,1,0,0
388,118.9,135.8,16.9,92,1,1,0,0
389,132.9,147.2,14.3,92,1,1,0,0
390,135.2,150,14.8,92,1,1,0,0
391,135,148.2,13.2,92,1,1,0,0
392,125.4,139.8,14.4,92,1,1,0,0
393,126.7,143.7,17,92,1,1,0,0
394,125,141.3,16.3,92,1,1,0,0
395,133.2,147.2,14,92,1,1,0,0
396,124.3,139.7,15.4,92,1,1,0,0
397,115.3,130.3,15,92,1,1,0,0
398,136.8,149.3,12.5,92,1,1,0,0
399,137.6,150.4,12.8,92,1,1,0,0
400,147.5,160,12.5,92,1,1,0,0
401,147.5,161.6,14.1,92,1,1,0,0
402,136,149.3,13.3,92,1,1,0,0
403,113.3,129.2,15.9,92,1,1,0,0
404,126.3,142.7,16.4,92,1,1,0,0
405,129.6,143.6,14,92,1,1,0,0
406,116.3,132,15.7,92,1,1,0,0
407,116.6,133.2,16.6,92,1,1,0,0
408,120.9,137.8,16.9,92,1,1,0,0
409,131,145.4,14.4,92,1,1,0,0
410,136.5,150.8,14.3,92,1,1,0,0
411,133.3,147.2,13.9,92,1,1,0,0
412,132,143.7,11.7,92,1,1,0,0
413,131.4,144.7,13.3,92,1,1,0,0
414,135.8,148.1,12.3,92,1,1,0,0
415,118.6,135.4,16.8,92,1,1,0,0
416,129.8,145.8,16,92,1,1,0,0
417,141.2,154.2,13,92,1,1,0,0
418,132,144.3,12.3,92,1,1,0,0
419,118.7,133.7,15,92,1,1,0,0
420,141.5,155.4,13.9,92,1,1,0,0
421,130.7,142.4,11.7,92,1,1,0,0
422,137.7,149.5,11.8,92,1,1,0,0
423,143,157.1,14.1,92,1,1,0,0
424,134.7,147.6,12.9,92,1,1,0,0
425,131.2,143.5,12.3,92,1,1,0,0
426,125.9,138.9,13,92,1,1,0,0
427,144.8,157,12.2,92,1,1,0,0
428,128.5,140.8,12.3,92,1,1,0,0
429,143.4,156.4,13,92,1,1,0,0
430,141.7,153.1,11.4,92,1,1,0,0
431,139.2,152.3,13.1,92,1,1,0,0
432,115.8,130.5,14.7,92,1,1,0,0
433,137.2,149.8,12.6,92,1,1,0,0
434,131,142.3,11.3,92,1,1,0,0
435,141.9,153.4,11.5,92,1,1,0,0
436,133.4,147.9,14.5,92,1,1,0,0
437,134.3,149.9,15.6,92,1,1,0,0
438,137.9,152.2,14.3,92,1,1,0,0
439,138.6,150.4,11.8,92,1,1,0,0
440,130.8,141.8,11,92,1,1,0,0
441,138.1,152.4,14.3,92,1,1,0,0
442,121.9,133.7,11.8,92,1,1,0,0
443,136.9,147.1,10.2,92,1,1,0,0
444,138.6,151.7,13.1,92,1,1,0,0
445,141.4,153.6,12.2,92,1,1,0,0
446,132.2,145.2,13,92,1,1,0,0
447,124.5,141.6,17.1,92,1,1,0,0
448,125.7,138.3,12.6,92,1,1,0,0
449,119.3,135.2,15.9,92,1,1,0,0
450,140.7,153.5,12.8,92,1,1,0,0
451,139.6,153.3,13.7,92,1,1,0,0
452,139.6,151.6,12,92,1,1,0,0
453,138,152.9,14.9,92,1,1,0,0
454,134.8,147.5,12.7,92,1,1,0,0
455,124.4,141.9,17.5,92,1,1,0,0
456,132.6,145.9,13.3,92,1,1,0,0
457,125.1,140.3,15.2,92,1,1,0,0
458,135.3,148.5,13.2,92,1,1,0,0
459,139.1,151.4,12.3,92,1,1,0,0
461,134.9,146.4,11.5,92,1,1,0,0
462,118.7,134.3,15.6,92,1,1,0,0
463,138.3,154.1,15.8,92,1,1,0,0
464,131.2,146.4,15.2,92,1,1,0,0
465,135.2,149.4,14.2,92,1,1,0,0
466,119.4,134.7,15.3,92,1,1,0,0
467,148.1,161.7,13.6,92,1,1,0,0
468,135.9,150.3,14.4,92,1,1,0,0
469,135.6,151.2,15.6,92,1,1,0,0
470,129.6,143.5,13.9,92,1,1,0,0
471,134.1,148.3,14.2,92,1,1,0,0
472,114.4,129.2,14.8,92,1,1,0,0
