sno,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
time ,2,0,0,0.5,0,0,0,0,2,0,0,0,0,3,1,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0.5,1,0,0,0,2,2,0.5,0,2,0,0,0,2,0,0,0.5,3,0,0,0,4,30,14,0,0,0,0.5,14,1,0,0,1.5,0,0,2,0,0,0,0,0,0,0,2,1,0,0,2,0,2,2,5,0,3,0
like,3,3,3,3,3,3,4,3,3,3,3,3,2,3,3,5,3,3,2,3,3,3,3,5,5,3,2,3,4,4,4,3,4,2,3,2,4,3,3,3,4,2,3,3,3,3,3,3,99,3,4,5,3,2,3,4,4,2,2,2,3,2,4,2,2,2,4,2,3,4,3,2,5,3,5,2,5,3,2,2,2,1,3,2,3,2,3,3,2,3,3
where,3,3,1,3,3,2,3,3,2,3,1,2,4,3,5,99,3,2,2,99,2,2,3,99,99,3,3,2,3,3,3,5,2,1,3,6,3,4,1,3,99,4,4,4,4,5,4,4,99,2,99,99,2,3,1,3,3,99,99,99,1,99,99,3,4,4,2,5,3,2,4,99,99,3,99,3,99,3,3,1,3,99,2,3,2,4,4,3,5,3,4
freq,2,3,3,3,4,4,4,4,1,4,4,4,1,2,2,99,4,3,2,99,2,3,1,99,99,4,4,3,4,4,4,2,3,3,1,2,3,4,4,2,99,2,2,2,99,2,2,3,99,2,4,99,2,1,3,3,4,1,2,1,3,3,99,2,1,2,4,2,2,4,3,2,99,2,99,3,99,4,3,2,1,99,4,2,4,2,2,2,4,2,3
busy,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,99,0,0,1,99,0,0,1,99,99,0,0,0,0,0,0,0,0,0,0,0,0,99,0,1,0,0,0,1,0,1,0,1,99,0,0,99,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,99,0,99,0,99,0,0,0,0,99,0,0,0,1,1,0,0,0,0
educ,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,99,1,0,0,99,1,1,1,99,99,99,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,99,0,99,99,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,99,99,0,99,1,99,0,1,1,0,99,0,1,0,0,0,1,1,0,1
sex,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0
age,19,18,19,19,19,19,20,19,19,19,20,19,19,18,18,19,21,20,18,19,20,24,19,19,21,20,22,18,19,20,19,19,19,19,19,18,19,20,19,20,19,19,19,19,19,19,19,19,20,19,18,20,19,18,19,21,18,20,19,19,19,21,20,19,18,19,18,20,19,19,19,20,19,23,19,20,19,19,25,19,20,19,19,21,18,19,19,20,33,19,19
home,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0
math,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,99,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1
work,10,0,0,0,0,12,10,13,0,0,0,0,1,0,14,0,2,0,0,9,15,10,0,0,0,0,0,10,0,0,0,99,0,10,12,5,0,0,0,20,5,0,10,99,99,15,0,0,15,0,0,0,16,7,15,5,0,6,0,0,0,18,0,20,35,19,0,20,8,0,0,10,16,0,40,0,15,16,55,10,0,10,15,15,15,0,0,14,40,5,5
own,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1
cdrom,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,99,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,99,0,99,0,99,1,0,1,0
email,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1
grade,4,2,3,3,3,3,3,3,4,4,3,4,4,3,3,3,4,3,4,3,4,4,4,2,3,3,4,3,3,3,4,3,3,3,3,4,3,3,3,3,4,3,3,4,3,4,3,3,3,4,3,3,3,3,3,4,4,4,3,2,3,2,4,4,3,4,4,4,3,3,3,3,3,4,3,2,3,3,3,3,4,4,2,4,3,3,4,4,2,3,2
